Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/6/15, 00:00:00, 30191.00, 30192.00, 30191.00, 30191.00, 34, 19, 34, 0
2026/6/15, 00:00:00.142, 30200.00, 30201.00, 30200.00, 30200.00, 3, 3, 2, 1
2026/6/15, 00:00:00.148, 30210.00, 30211.00, 30210.00, 30210.00, 1, 1, 0, 1
2026/6/15, 00:00:00.149, 30212.00, 30213.00, 30212.00, 30212.00, 1, 1, 0, 1
2026/6/15, 00:00:00.149, 30219.50, 30220.50, 30219.50, 30219.50, 1, 1, 0, 1
2026/6/15, 00:00:00.156, 30234.50, 30234.50, 30233.50, 30234.50, 1, 1, 1, 0
2026/6/15, 00:00:00.162, 30199.75, 30200.75, 30199.75, 30199.75, 1, 1, 0, 1
2026/6/15, 00:00:00.162, 30209.00, 30210.00, 30209.00, 30210.00, 3, 3, 0, 3
2026/6/15, 00:00:00.163, 30235.00, 30236.00, 30235.00, 30235.00, 1, 1, 0, 1
2026/6/15, 00:00:00.163, 30244.00, 30245.00, 30244.00, 30244.00, 1, 1, 0, 1
2026/6/15, 00:00:00.163, 30250.00, 30251.00, 30250.00, 30250.00, 2, 1, 0, 2
2026/6/15, 00:00:00.163, 30262.00, 30263.00, 30262.00, 30262.00, 5, 1, 0, 5
2026/6/15, 00:00:00.163, 30264.00, 30265.00, 30264.00, 30265.00, 6, 2, 0, 6
2026/6/15, 00:00:00.163, 30267.50, 30267.50, 30266.50, 30267.50, 4, 1, 0, 4
2026/6/15, 00:00:00.163, 30255.00, 30255.00, 30254.00, 30255.00, 1, 1, 1, 0
2026/6/15, 00:00:00.163, 30214.75, 30215.75, 30214.75, 30214.75, 15, 8, 15, 0
2026/6/15, 00:00:00.209, 30234.50, 30235.50, 30234.50, 30234.50, 1, 1, 0, 1
2026/6/15, 00:00:00.209, 30244.00, 30244.00, 30243.00, 30244.00, 2, 2, 0, 2
2026/6/15, 00:00:00.210, 30215.00, 30216.00, 30215.00, 30215.00, 1, 1, 1, 0
2026/6/15, 00:00:00.225, 30267.50, 30267.50, 30266.50, 30267.50, 1, 1, 0, 1
2026/6/15, 00:00:00.228, 30214.75, 30215.75, 30214.75, 30214.75, 1, 1, 1, 0
2026/6/15, 00:00:00.228, 30267.50, 30267.50, 30266.50, 30267.50, 1, 1, 0, 1
2026/6/15, 00:00:00.247, 30215.00, 30215.75, 30214.75, 30214.75, 9, 4, 9, 0
2026/6/15, 00:00:00.249, 30275.75, 30275.75, 30274.75, 30275.75, 1, 1, 0, 1
2026/6/15, 00:00:00.258, 30194.25, 30194.25, 30193.25, 30193.25, 2, 2, 2, 0
2026/6/15, 00:00:00.258, 30191.00, 30192.00, 30191.00, 30191.00, 1, 1, 1, 0
2026/6/15, 00:00:00.267, 30205.00, 30206.00, 30205.00, 30205.00, 1, 1, 0, 1
2026/6/15, 00:00:00.281, 30208.25, 30209.25, 30208.25, 30208.25, 1, 1, 0, 1
2026/6/15, 00:00:00.293, 30210.00, 30211.00, 30210.00, 30210.00, 1, 1, 0, 1
2026/6/15, 00:00:00.302, 30215.00, 30216.00, 30215.00, 30215.00, 1, 1, 0, 1
2026/6/15, 00:00:00.302, 30220.00, 30221.00, 30220.00, 30220.00, 1, 1, 0, 1
2026/6/15, 00:00:00.308, 30230.00, 30231.00, 30230.00, 30230.00, 4, 4, 4, 0
2026/6/15, 00:00:00.334, 30267.25, 30267.25, 30266.25, 30267.25, 1, 1, 0, 1
2026/6/15, 00:00:00.340, 30230.00, 30231.00, 30230.00, 30230.00, 5, 4, 5, 0
2026/6/15, 00:00:00.355, 30238.25, 30238.25, 30237.25, 30238.25, 1, 1, 0, 1
2026/6/15, 00:00:00.369, 30217.75, 30218.75, 30217.75, 30217.75, 1, 1, 0, 1
2026/6/15, 00:00:00.371, 30219.25, 30219.25, 30218.25, 30218.25, 2, 2, 0, 2
2026/6/15, 00:00:00.388, 30223.50, 30224.50, 30223.50, 30223.50, 1, 1, 0, 1
2026/6/15, 00:00:00.441, 30228.00, 30229.00, 30228.00, 30228.00, 2, 2, 1, 1
2026/6/15, 00:00:00.528, 30238.25, 30238.50, 30237.50, 30238.50, 3, 3, 3, 0
2026/6/15, 00:00:00.763, 30235.25, 30235.25, 30234.25, 30235.25, 1, 1, 1, 0
2026/6/15, 00:00:00.966, 30222.50, 30222.50, 30221.50, 30222.50, 2, 2, 2, 0
2026/6/15, 00:00:00.969, 30210.00, 30210.00, 30209.00, 30210.00, 2, 2, 2, 0
2026/6/15, 00:00:00.969, 30195.00, 30195.00, 30194.00, 30195.00, 14, 2, 0, 14
