walk_forward_type,fitness_function,train_size,repetition,window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
expanding,losing_streak_fitness,expanding,rep_1,1,0,100,-54.899339704590254,332.55375505322445,387.4530947578147,-1605.5959388071385,305.7068150804787,1911.3027538876172,-1000.0,332.55375505322445,1332.5537550532244,3472.650453806561,78.5234929997309,-3394.12696080683,27910.231047181784,311.990681353021,-27598.240365828762,-54.899339704590254,332.55375505322445,387.4530947578147,18,101,True
expanding,losing_streak_fitness,expanding,rep_1,2,0,100,-15.513435037626794,243.40912061794236,258.92255565556917,-3558.058361946367,201.3043849019305,3759.3627468482973,-1000.0,243.40912061794236,1243.4091206179423,7422.703224188333,139.899209780168,-7282.804014408164,49109.24354146048,1243.4091206179423,-47865.83442084253,-15.513435037626794,243.40912061794236,258.92255565556917,7,101,True
expanding,losing_streak_fitness,expanding,rep_1,3,0,100,178.88543819998318,659.640053362438,480.75461516245485,-9306.964127028834,645.7103169715333,9952.674444000368,-1000.0,659.640053362438,1659.640053362438,36576.68049112316,61.19841927484988,-36515.48207184831,348973.5460077045,319.6610098906381,-348653.8849978139,178.88543819998318,676.0591690081571,497.17373080817396,17,101,True
expanding,losing_streak_fitness,expanding,rep_1,4,0,100,680.9816443928573,1384.0,703.0183556071427,-26684.516127254887,1308.2241762652752,27992.74030352016,-1019.7178760978832,1384.0,2403.717876097883,93724.75887152816,260.6903061596876,-93464.06856536848,737629.2758414823,1092.3360838224926,-736536.9397576598,680.9816443928573,1384.0,703.0183556071427,4,101,True
expanding,losing_streak_fitness,expanding,rep_2,1,0,100,-11.180339887498947,332.55375505322445,343.7340949407234,-1740.0559838665044,308.15657283698295,2048.2125567034873,-1000.0,332.55375505322445,1332.5537550532244,4584.663428514635,73.35342505320095,-4511.310003461434,41941.02045291955,328.87952043904966,-41612.1409324805,-11.180339887498947,332.55375505322445,343.7340949407234,11,101,True
expanding,losing_streak_fitness,expanding,rep_2,2,0,100,1.3228756555322954,786.3510666362703,785.028190980738,-5509.869949054247,727.6109825525098,6237.480931606757,-918.849302116624,786.3510666362703,1705.2003687528943,29141.40197919649,162.73485524372057,-28978.667123952768,226263.645536765,697.3510666362703,-225566.29447012872,1.3228756555322954,786.3510666362703,785.028190980738,31,101,True
expanding,losing_streak_fitness,expanding,rep_2,3,0,100,234.1489910292163,659.640053362438,425.49106233322175,-11666.703427809009,617.6044040966511,12284.30783190566,-1000.0,659.640053362438,1659.640053362438,46186.70427711854,187.10404217908305,-45999.600234939455,417380.5472692596,1659.640053362438,-415720.90721589717,234.1489910292163,659.640053362438,425.49106233322175,18,101,True
expanding,losing_streak_fitness,expanding,rep_2,4,0,100,100.25467570143547,1384.0,1283.7453242985646,-7986.526424515912,1311.7218508060212,9298.248275321934,-1054.3717164502532,1384.0,2438.371716450253,18669.53184222631,236.99878178148435,-18432.533060444828,117337.97286553156,1074.1613323034069,-116263.81153322814,100.25467570143547,1384.0,1283.7453242985646,7,101,True
expanding,losing_streak_fitness,expanding,rep_3,1,0,100,-15.75,145.4922678357857,161.2422678357857,-1968.4282186390244,111.18349520185518,2079.6117138408795,-1000.0,145.4922678357857,1145.4922678357857,3981.4741855209286,126.87010809034749,-3854.604077430581,30062.1466144576,1145.4922678357857,-28916.654346621814,-15.75,150.1463869029155,165.8963869029155,11,101,True
expanding,losing_streak_fitness,expanding,rep_3,2,0,100,-12.6,243.40912061794236,256.00912061794236,-5231.130596800145,217.3638556553248,5448.49445245547,-1000.0,243.40912061794236,1243.4091206179423,14599.51840173682,133.3490661138275,-14466.169335622992,117318.91894525188,1243.4091206179423,-116075.50982463393,-12.6,243.40912061794236,256.00912061794236,10,101,True
expanding,losing_streak_fitness,expanding,rep_3,3,0,100,357.7708763999664,659.640053362438,301.8691769624716,-9200.18049990996,610.2327107282011,9810.413210638162,-1000.0,659.640053362438,1659.640053362438,16414.39558527794,242.2259101785344,-16172.169675099405,74980.37822805982,1659.640053362438,-73320.73817469738,357.7708763999664,659.640053362438,301.8691769624716,9,101,True
expanding,losing_streak_fitness,expanding,rep_3,4,0,100,419.06562731868144,894.1767163150693,475.1110889963878,-14840.651646816665,830.3942085118814,15671.045855328546,-1491.104528105536,894.1767163150693,2385.281244420605,37188.47025118302,183.8555696962781,-37004.61468148674,243659.0974107404,805.8421251290565,-242853.25528561132,419.06562731868144,911.206343261503,492.14071594282154,6,101,True
