analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,155.2072511723297,64.35119190781336,3,-263.59187757099664,238.52684858426733,3,418.7991287433263,290.5979849847666,3
1,223.21312598060385,55.13059857967786,3,-297.07679867634306,202.89370658261217,3,520.2899246569469,254.7822139485194,3
2,327.3766446305763,34.39748910327027,3,-339.7931525807962,286.4164644713398,3,667.1697972113725,287.54759154223825,3
3,356.0434368365748,60.36169973113249,3,-394.2709630491159,160.22776141470138,3,750.3143998856907,172.9838025417729,3
4,444.2704050042706,95.31815540114597,3,-257.39835579143073,51.47924898101166,3,701.6687607957014,146.4595389027958,3
5,488.4167792768523,63.82513101934843,3,-344.06803470547317,185.64369855131997,3,832.4848139823254,238.00604040593268,3
6,526.7219505169627,59.9959282315884,3,-355.4666612788671,207.49181100792185,3,882.1886117958298,238.16315214871466,3
7,553.6802148090461,75.5337126806796,3,-268.3372920591619,41.112666554829374,3,822.017506868208,62.58973393383644,3
8,557.7131004510056,78.96756510810808,3,-269.30986779049516,39.44081151460552,3,827.0229682415007,62.31245037458362,3
9,596.2637244612591,108.19495445042944,3,-213.61990268238648,28.60820189081118,3,809.8836271436456,91.6536490535568,3
10,598.4685172204796,104.7554102176016,3,-211.57866123006715,25.38905071743582,3,810.0471784505468,91.43295706708057,3
11,605.7020757578564,114.21413791251862,3,-197.51839882450258,15.110775849804453,3,803.2204745823589,126.70575327208104,3
12,610.8504957891456,114.6142155929533,3,-190.0197271244465,25.052735519536398,3,800.8702229135921,127.03427331966213,3
13,610.8504957891456,114.6142155929533,3,-190.0197271244465,25.052735519536398,3,800.8702229135921,127.03427331966213,3
14,619.3054623779861,123.67833054161493,3,-218.2559185944657,30.251274253777105,3,837.5613809724518,153.48099911828723,3
15,622.9139015604213,124.25567208461148,3,-208.39578562263299,36.545002771767315,3,831.3096871830543,153.5414194851229,3
16,624.3572772333954,124.57368937722566,3,-213.73669098237568,32.17781132690348,3,838.093968215771,153.51116060271121,3
17,625.7255368705386,124.92061112261882,3,-207.99480789033893,36.9455922367445,3,833.7203447608775,153.42762521183582,3
18,634.0894407727884,132.3024243507832,3,-195.49944353503255,44.7179429350254,3,829.588884307821,157.2877192589013,3
19,634.0894407727884,132.3024243507832,3,-195.49944353503255,44.7179429350254,3,829.588884307821,157.2877192589013,3
20,634.0894407727884,132.3024243507832,3,-195.49944353503255,44.7179429350254,3,829.588884307821,157.2877192589013,3
21,634.0894407727884,132.3024243507832,3,-195.49944353503255,44.7179429350254,3,829.588884307821,157.2877192589013,3
22,634.0894407727884,132.3024243507832,3,-195.49944353503255,44.7179429350254,3,829.588884307821,157.2877192589013,3
23,634.0894407727884,132.3024243507832,3,-195.49944353503255,44.7179429350254,3,829.588884307821,157.2877192589013,3
24,634.0894407727884,132.3024243507832,3,-195.49944353503255,44.7179429350254,3,829.588884307821,157.2877192589013,3
