walk_forward_type,fitness_function,train_size,repetition,window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
expanding,net_profit_fitness,expanding,rep_1,1,0,100,42.0,102.0,60.0,-844.22,84.33,928.5500000000001,-880.5,102.0,982.5,880.7515681782718,63.40841721520396,-817.3431509630678,6290.0,320.0,-5970.0,42.0,102.0,60.0,9,101,True
expanding,net_profit_fitness,expanding,rep_1,2,0,100,44.0,106.0,62.0,-1562.56,82.65,1645.21,-478.0,106.0,584.0,2435.468661761888,81.86936810763495,-2353.5992936542534,12908.0,483.0,-12425.0,44.0,131.0,87.0,1,101,True
expanding,net_profit_fitness,expanding,rep_1,3,0,100,197.0,314.0,117.0,-3172.07,291.97,3464.04,-1021.0,314.0,1335.0,5709.475081136725,59.14875187596817,-5650.326329260757,35145.0,241.0,-34904.0,197.0,314.0,117.0,18,101,True
expanding,net_profit_fitness,expanding,rep_1,4,0,100,240.0,616.0,376.0,-5461.47,593.81,6055.280000000001,-2045.5,616.0,2661.5,8255.91037562812,89.80053035770587,-8166.109845270415,41754.0,634.0,-41120.0,240.0,654.0,414.0,14,101,True
expanding,net_profit_fitness,expanding,rep_2,1,0,100,3.0,220.0,217.0,-1108.24,210.18,1318.42,-1000.0,220.0,1220.0,1565.7785949759464,34.51317417913328,-1531.265420796813,9355.0,227.0,-9128.0,3.0,220.0,217.0,24,101,True
expanding,net_profit_fitness,expanding,rep_2,2,0,100,106.0,106.0,0.0,-1549.09,95.58,1644.6699999999998,-432.0,106.0,538.0,4222.88303331152,42.76271858769156,-4180.120314723828,38224.0,320.0,-37904.0,106.0,106.0,0.0,0,101,False
expanding,net_profit_fitness,expanding,rep_2,3,0,100,257.0,314.0,57.0,-4169.46,303.44,4472.9,-909.5,314.0,1223.5,9614.102496674646,44.78440385092592,-9569.31809282372,53616.0,241.0,-53375.0,257.0,314.0,57.0,10,101,True
expanding,net_profit_fitness,expanding,rep_2,4,0,100,294.0,504.0,210.0,-4624.97,494.77,5119.74,-1408.0,504.0,1912.0,8454.44797337144,35.21588685336047,-8419.232086518079,51559.0,176.0,-51383.0,294.0,520.0,226.0,5,101,True
expanding,net_profit_fitness,expanding,rep_3,1,0,100,26.0,114.0,88.0,-1022.85,108.48,1131.33,-1000.0,114.0,1114.0,1458.2643368959643,20.090944741501342,-1438.173392154463,11158.0,114.0,-11044.0,26.0,114.0,88.0,8,101,True
expanding,net_profit_fitness,expanding,rep_3,2,0,100,101.0,131.0,30.0,-2801.08,124.28,2925.36,-486.0,131.0,617.0,5317.593141809382,29.779350177089107,-5287.813791632293,30577.0,150.0,-30427.0,101.0,131.0,30.0,15,101,True
expanding,net_profit_fitness,expanding,rep_3,3,0,100,195.0,295.0,100.0,-2645.25,287.35,2932.6,-497.5,295.0,792.5,6206.241554257937,34.590351606227195,-6171.65120265171,45128.0,222.0,-44906.0,195.0,355.0,160.0,6,101,True
expanding,net_profit_fitness,expanding,rep_3,4,0,100,235.0,559.0,324.0,-7019.53,549.54,7569.07,-1340.5,559.0,1899.5,13179.83906605736,37.6974719834022,-13142.141594073959,69507.0,231.0,-69276.0,235.0,559.0,324.0,12,101,True
