walk_forward_type,fitness_function,train_size,repetition,window_id,first_generation,last_generation,first_train_fitness,last_train_fitness,train_improvement,first_test_fitness,last_test_fitness,test_improvement,first_generalization_gap,last_generalization_gap,gap_change,number_of_generations_observed,overfit_flag
expanding,net_profit_fitness,expanding,rep_1,1,0,100,42.0,102.0,60.0,-298.0,-218.0,80.0,340.0,320.0,-20.0,101,False
expanding,net_profit_fitness,expanding,rep_1,2,0,100,44.0,131.0,87.0,204.0,64.0,-140.0,-160.0,67.0,227.0,101,True
expanding,net_profit_fitness,expanding,rep_1,3,0,100,197.0,314.0,117.0,516.0,324.0,-192.0,-319.0,-10.0,309.0,101,True
expanding,net_profit_fitness,expanding,rep_1,4,0,100,240.0,654.0,414.0,-4000.0,-4000.0,0.0,4240.0,4654.0,414.0,101,True
expanding,net_profit_fitness,expanding,rep_2,1,0,100,3.0,220.0,217.0,-380.0,-441.0,-61.0,383.0,661.0,278.0,101,True
expanding,net_profit_fitness,expanding,rep_2,2,0,100,106.0,106.0,0.0,-76.0,-76.0,0.0,182.0,182.0,0.0,101,False
expanding,net_profit_fitness,expanding,rep_2,3,0,100,257.0,314.0,57.0,72.0,324.0,252.0,185.0,-10.0,-195.0,101,False
expanding,net_profit_fitness,expanding,rep_2,4,0,100,294.0,520.0,226.0,-4000.0,-4000.0,0.0,4294.0,4520.0,226.0,101,True
expanding,net_profit_fitness,expanding,rep_3,1,0,100,26.0,114.0,88.0,-89.0,-399.0,-310.0,115.0,513.0,398.0,101,True
expanding,net_profit_fitness,expanding,rep_3,2,0,100,101.0,131.0,30.0,-86.0,262.0,348.0,187.0,-131.0,-318.0,101,False
expanding,net_profit_fitness,expanding,rep_3,3,0,100,195.0,355.0,160.0,612.0,-6.0,-618.0,-417.0,361.0,778.0,101,True
expanding,net_profit_fitness,expanding,rep_3,4,0,100,235.0,559.0,324.0,-4000.0,-4000.0,0.0,4235.0,4559.0,324.0,101,True
