walk_forward_type,fitness_function,train_size,repetition,window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
rolling,losing_streak_fitness,1_day,rep_1,1,0,100,-4.6283352950392205,1025.21412397606,1029.8424592710992,-1802.698280376756,909.25043477367,2711.948715150426,-1000.0,1025.21412397606,2025.21412397606,3959.665034312915,281.4279006181759,-3678.237133694739,30573.327190867927,1018.2859207457844,-29555.041270122143,-4.6283352950392205,1026.3405867449655,1030.9689220400048,83,101,True
rolling,losing_streak_fitness,1_day,rep_1,2,0,100,25.238858928247925,442.7188724235732,417.4800134953253,-3671.171282548631,201.30053954679263,3872.4718220954237,-1000.0,200.65579981650168,1200.6557998165017,13696.127263049422,58.55204010543442,-13637.575222943988,121781.82447319572,424.7188724235732,-121357.10560077215,25.238858928247925,442.7188724235732,417.4800134953253,99,101,True
rolling,losing_streak_fitness,1_day,rep_1,3,0,100,725.0489638638206,324.2298567374695,-400.8191071263511,-4811.266988684854,292.90967027450915,5104.1766589593635,-1000.0,324.2298567374695,1324.2298567374696,17171.596968593036,188.6294365816348,-16982.9675320114,150398.48196357823,1324.2298567374696,-149074.25210684075,725.0489638638206,725.0489638638206,0.0,0,101,False
rolling,losing_streak_fitness,1_day,rep_1,4,0,100,399.2668280736581,815.8896984274284,416.6228703537703,-5469.232001670704,766.4729033125636,6235.704904983268,-1000.0,815.8896984274284,1815.8896984274284,13494.341753690367,159.50763059704846,-13334.834123093318,88144.58897261877,699.9395175545878,-87444.64945506418,399.2668280736581,815.8896984274284,416.6228703537703,3,101,True
rolling,losing_streak_fitness,1_day,rep_2,1,0,100,-107.23753488815792,63.355259362494046,170.59279425065196,-1873.6802704067493,27.87613354413161,1901.5564039508808,-1000.0,63.355259362494046,1063.355259362494,3453.9712852030734,182.2490281489648,-3271.7222570541085,21159.84359525093,1063.355259362494,-20096.488335888436,-107.23753488815792,167.70509831248424,274.94263320064215,8,101,True
rolling,losing_streak_fitness,1_day,rep_2,2,0,100,11.180339887498947,52.1749194749951,40.994579587496155,-3978.376091021271,51.06843900015595,4029.444530021427,-1000.0,52.1749194749951,1052.174919474995,13626.655109357866,6.3782383322520255,-13620.276871025613,114671.5767285273,54.74634804642367,-114616.83038048088,11.180339887498947,97.28309205612248,86.10275216862354,4,101,True
rolling,losing_streak_fitness,1_day,rep_2,3,0,100,88.18163074019441,324.2298567374695,236.0482259972751,-2717.6430379209046,291.3476996911819,3008.9907376120864,-1000.0,324.2298567374695,1324.2298567374696,6604.138790436936,190.6069392347518,-6413.531851202184,43001.40025810489,1324.2298567374696,-41677.170401367424,88.18163074019441,324.2298567374695,236.0482259972751,11,101,True
rolling,losing_streak_fitness,1_day,rep_2,4,0,100,432.0,592.0,160.0,-2879.667280966892,566.606580015449,3446.273860982341,-572.0289051623156,592.0,1164.0289051623156,6863.1348484066575,83.87191523296195,-6779.262933173695,52426.11474027613,387.2,-52038.91474027613,432.0,592.0,160.0,7,101,True
rolling,losing_streak_fitness,1_day,rep_3,1,0,100,-49.0260701622673,106.21322893124,155.2392990935073,-1171.8537996663388,68.85756787754659,1240.7113675438854,-1000.0,106.21322893124,1106.2132289312399,1681.3256163176138,189.9989802325308,-1491.326636085083,13067.131421013772,1106.21322893124,-11960.918192082532,-49.0260701622673,106.21322893124,155.2392990935073,14,101,True
rolling,losing_streak_fitness,1_day,rep_3,2,0,100,46.0399826238021,408.0,361.9600173761979,-2754.7462519633464,386.0224895402418,3140.768741503588,-1000.0,408.0,1408.0,7515.626378296011,79.23035848141664,-7436.396019814595,47714.87578692575,413.2704627669473,-47301.60532415881,46.0399826238021,408.0,361.9600173761979,23,101,True
rolling,losing_streak_fitness,1_day,rep_3,3,0,100,161.66632302368973,324.2298567374695,162.56353371377978,-3273.71897301694,318.8763002441577,3592.5952732610976,-1000.0,324.2298567374695,1324.2298567374696,6153.002193662568,35.2401929840407,-6117.762000678527,31687.22630980267,309.5419469516099,-31377.68436285106,161.66632302368973,363.3610463437158,201.6947233200261,5,101,True
rolling,losing_streak_fitness,1_day,rep_3,4,0,100,387.2983346207417,600.585547611662,213.28721299092035,-5196.030911014933,567.15159439264,5763.1825054075725,-1000.0,600.585547611662,1600.5855476116622,22937.252945869437,116.09696438926372,-22821.155981480173,220316.2536885287,561.4543580054158,-219754.7993305233,387.2983346207417,600.585547611662,213.28721299092035,6,101,True
