generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
0,1,0,22406,22406,53560,-4.6283352950392205,-1802.698280376756,-1000.0,-30577.955526162965,3959.665034312915,30573.327190867927,0,rolling,losing_streak_fitness,1_day,rep_1
1,1,0,22406,22406,53560,130.28675638332888,-816.8070313157681,-1000.0,-7364.965173033746,914.6158973264676,7495.251929417075,0,rolling,losing_streak_fitness,1_day,rep_1
2,1,0,22406,22406,53560,53.60037313302959,-739.8036442249155,-285.18030885406074,-13427.209762270044,1521.899868606097,13480.810135403071,1,rolling,losing_streak_fitness,1_day,rep_1
3,1,0,22406,22406,53560,139.17427923290998,-185.5277641128176,-78.66132600180791,-1000.0,274.33164443243265,1139.17427923291,0,rolling,losing_streak_fitness,1_day,rep_1
4,1,0,22406,22406,53560,185.0,-118.41230679516272,-53.26871084938658,-1179.4293111501004,263.8502243850519,1364.4293111501004,0,rolling,losing_streak_fitness,1_day,rep_1
5,1,0,22406,22406,53560,251.7439175034821,-70.66225266570595,-12.701705922171763,-1000.0,265.0546856457032,1251.7439175034822,0,rolling,losing_streak_fitness,1_day,rep_1
6,1,0,22406,22406,53560,571.050129148046,31.502045292486404,38.62990915244727,-1000.0,138.91585945089443,1571.050129148046,0,rolling,losing_streak_fitness,1_day,rep_1
7,1,0,22406,22406,53560,571.050129148046,102.17681580430956,75.12860095271904,-53.711660745130565,100.61948590635372,624.7617898931766,1,rolling,losing_streak_fitness,1_day,rep_1
8,1,0,22406,22406,53560,840.0934471831094,181.6416880426333,150.49226631335404,-67.88225099390857,159.01490362326842,907.975698177018,0,rolling,losing_streak_fitness,1_day,rep_1
9,1,0,22406,22406,53560,571.050129148046,258.8343542630663,242.5893406379859,-15.084944665313015,168.83966991068542,586.1350738133591,1,rolling,losing_streak_fitness,1_day,rep_1
10,1,0,22406,22406,53560,571.050129148046,390.8418693802651,467.97248850760445,-3.605551275463989,189.04275749469727,574.65568042351,2,rolling,losing_streak_fitness,1_day,rep_1
11,1,0,22406,22406,53560,1025.21412397606,495.8022756815509,571.050129148046,-3.605551275463989,165.1207817161164,1028.819675251524,0,rolling,losing_streak_fitness,1_day,rep_1
