generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
0,1,0,53560,53560,86986,50.31152949374527,-2242.0623185288614,-1000.0,-31504.16534759365,4990.994600575103,31554.4768770874,0,rolling,losing_streak_fitness,2_days,rep_1
1,1,0,53560,53560,86986,51.75,-562.6039383209475,-526.2204670536942,-1898.583435545669,409.8636526417219,1950.333435545669,0,rolling,losing_streak_fitness,2_days,rep_1
2,1,0,53560,53560,86986,55.631645670427545,-338.6635896331037,-206.46908973329352,-2115.3806465976754,375.3388146278523,2171.012292268103,0,rolling,losing_streak_fitness,2_days,rep_1
3,1,0,53560,53560,86986,136.0,-165.5829014507639,-98.31273454018267,-1190.5330375486476,253.3755168749024,1326.5330375486476,0,rolling,losing_streak_fitness,2_days,rep_1
4,1,0,53560,53560,86986,136.0,-157.04466341437504,-34.119718473952105,-1000.0,321.0041570427079,1136.0,1,rolling,losing_streak_fitness,2_days,rep_1
5,1,0,53560,53560,86986,193.5,-98.0440961075654,-14.802029153348832,-1000.0,290.7805056003672,1193.5,0,rolling,losing_streak_fitness,2_days,rep_1
6,1,0,53560,53560,86986,193.5,-194.88359441012824,-10.182337649086286,-1000.0,410.857135549626,1193.5,1,rolling,losing_streak_fitness,2_days,rep_1
7,1,0,53560,53560,86986,194.33610060922803,-53.02502411391092,16.770509831248425,-1000.0,291.3596653758105,1194.336100609228,0,rolling,losing_streak_fitness,2_days,rep_1
8,1,0,53560,53560,86986,232.91814251172252,-7.678074511427053,70.32682269697605,-1000.0,302.59702755058777,1232.9181425117226,0,rolling,losing_streak_fitness,2_days,rep_1
9,1,0,53560,53560,86986,232.91814251172252,91.23373618487204,100.45894683899488,-1000.0,134.35677622369337,1232.9181425117226,1,rolling,losing_streak_fitness,2_days,rep_1
10,1,0,53560,53560,86986,232.91814251172252,115.3940374573414,122.8124971976154,-111.9542763810298,77.67454333797386,344.8724188927523,2,rolling,losing_streak_fitness,2_days,rep_1
11,1,0,53560,53560,86986,271.9319767883137,121.08366919151284,155.94009266381752,-1000.0,132.04837551625243,1271.9319767883137,0,rolling,losing_streak_fitness,2_days,rep_1
12,1,0,53560,53560,86986,284.7283305577832,142.98324184696574,173.48417795291883,-111.9542763810298,88.37966310008518,396.68260693881297,0,rolling,losing_streak_fitness,2_days,rep_1
13,1,0,53560,53560,86986,284.7283305577832,163.4019010196826,193.5,-54.305800795126856,74.36465986752741,339.03413135291004,1,rolling,losing_streak_fitness,2_days,rep_1
14,1,0,53560,53560,86986,284.7283305577832,184.83907714494728,211.7149971069598,-60.852280154485584,77.55313490936757,345.5806107122688,2,rolling,losing_streak_fitness,2_days,rep_1
15,1,0,53560,53560,86986,284.7283305577832,213.44676420762505,232.91814251172252,-89.406375611586,75.06941652824214,374.1347061693692,3,rolling,losing_streak_fitness,2_days,rep_1
16,1,0,53560,53560,86986,284.7283305577832,234.12784167004716,232.91814251172252,53.033008588991066,61.825374432266514,231.6953219687921,4,rolling,losing_streak_fitness,2_days,rep_1
17,1,0,53560,53560,86986,284.7283305577832,264.2375293118255,284.7283305577832,46.04134615273054,52.18793446462572,238.68698440505264,5,rolling,losing_streak_fitness,2_days,rep_1
18,1,0,53560,53560,86986,284.7283305577832,263.75845153850844,284.7283305577832,42.7707064862545,56.706601613414215,241.95762407152867,6,rolling,losing_streak_fitness,2_days,rep_1
19,1,0,53560,53560,86986,284.7283305577832,270.7780940547372,284.7283305577832,67.92418158833011,46.83116387841148,216.80414896945308,7,rolling,losing_streak_fitness,2_days,rep_1
20,1,0,53560,53560,86986,284.7283305577832,271.6774323067686,284.7283305577832,42.7707064862545,49.182807060033376,241.95762407152867,8,rolling,losing_streak_fitness,2_days,rep_1
21,1,0,53560,53560,86986,284.7283305577832,253.7771679901168,284.7283305577832,42.7707064862545,75.31520906547604,241.95762407152867,9,rolling,losing_streak_fitness,2_days,rep_1
22,1,0,53560,53560,86986,284.7283305577832,274.07385945777736,284.7283305577832,42.7707064862545,42.82445266808165,241.95762407152867,10,rolling,losing_streak_fitness,2_days,rep_1
23,1,0,53560,53560,86986,284.7283305577832,271.6511543149441,284.7283305577832,46.04134615273054,48.51856971014692,238.68698440505264,11,rolling,losing_streak_fitness,2_days,rep_1
24,1,0,53560,53560,86986,297.8753934114061,269.02957254922217,284.7283305577832,42.7707064862545,51.120353169111866,255.10468692515164,0,rolling,losing_streak_fitness,2_days,rep_1
25,1,0,53560,53560,86986,297.8753934114061,267.0785049659457,284.7283305577832,53.033008588991066,54.91207354621385,244.84238482241508,1,rolling,losing_streak_fitness,2_days,rep_1
26,1,0,53560,53560,86986,297.8753934114061,271.1248066289501,284.7283305577832,63.583333333333336,45.25232324134303,234.2920600780728,2,rolling,losing_streak_fitness,2_days,rep_1
