dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition,analysis_generation,selected_generation
test,1,0,53560,53560,86986,0,13,3023,5.75,4,25,2,-1000.0,2,102.0,121.0,19.0,6.368421052631579,19.0,0.5,51.0,19.0,1,rolling,losing_streak_fitness,2_days,rep_1,0,0
train,1,0,53560,53560,86986,0,13,3023,5.75,4,25,2,50.31152949374527,5,45.0,121.0,76.0,1.5921052631578947,38.0,0.2,9.0,19.0,2,rolling,losing_streak_fitness,2_days,rep_1,0,0
test,1,0,53560,53560,86986,1,7,495,9.75,5,9,5,-103.9034088341039,10,-115.0,123.0,238.0,0.5168067226890757,238.0,0.3,-11.5,34.0,7,rolling,losing_streak_fitness,2_days,rep_1,1,1
train,1,0,53560,53560,86986,1,7,495,9.75,5,9,5,51.75,9,69.0,205.0,136.0,1.5073529411764706,136.0,0.5555555555555556,7.666666666666667,34.0,4,rolling,losing_streak_fitness,2_days,rep_1,1,1
test,1,0,53560,53560,86986,2,7,495,6.0,5,8,2,178.8854381999832,20,60.0,288.0,228.0,1.263157894736842,65.0,0.4,3.0,19.0,3,rolling,losing_streak_fitness,2_days,rep_1,2,2
train,1,0,53560,53560,86986,2,7,495,6.0,5,8,2,55.631645670427545,23,58.0,324.0,266.0,1.218045112781955,97.0,0.391304347826087,2.5217391304347827,19.0,5,rolling,losing_streak_fitness,2_days,rep_1,2,2
test,1,0,53560,53560,86986,3,7,460,7.75,5,8,2,387.2983346207417,15,100.0,252.0,152.0,1.6578947368421053,44.0,0.4666666666666667,6.666666666666667,19.0,2,rolling,losing_streak_fitness,2_days,rep_1,3,3
train,1,0,53560,53560,86986,3,7,460,7.75,5,8,2,136.0,16,136.0,288.0,152.0,1.894736842105263,76.0,0.5,8.5,19.0,4,rolling,losing_streak_fitness,2_days,rep_1,3,3
test,1,0,53560,53560,86986,3,7,460,7.75,5,8,2,387.2983346207417,15,100.0,252.0,152.0,1.6578947368421053,44.0,0.4666666666666667,6.666666666666667,19.0,2,rolling,losing_streak_fitness,2_days,rep_1,4,3
train,1,0,53560,53560,86986,3,7,460,7.75,5,8,2,136.0,16,136.0,288.0,152.0,1.894736842105263,76.0,0.5,8.5,19.0,4,rolling,losing_streak_fitness,2_days,rep_1,4,3
test,1,0,53560,53560,86986,5,7,460,9.25,5,7,2,301.8128559223414,11,91.0,186.0,95.0,1.9578947368421051,38.0,0.5454545454545454,8.272727272727273,19.0,2,rolling,losing_streak_fitness,2_days,rep_1,5,5
train,1,0,53560,53560,86986,5,7,460,9.25,5,7,2,193.5,9,129.0,186.0,57.0,3.263157894736842,38.0,0.6666666666666666,14.333333333333334,19.0,2,rolling,losing_streak_fitness,2_days,rep_1,5,5
test,1,0,53560,53560,86986,5,7,460,9.25,5,7,2,301.8128559223414,11,91.0,186.0,95.0,1.9578947368421051,38.0,0.5454545454545454,8.272727272727273,19.0,2,rolling,losing_streak_fitness,2_days,rep_1,6,5
train,1,0,53560,53560,86986,5,7,460,9.25,5,7,2,193.5,9,129.0,186.0,57.0,3.263157894736842,38.0,0.6666666666666666,14.333333333333334,19.0,2,rolling,losing_streak_fitness,2_days,rep_1,6,5
test,1,0,53560,53560,86986,7,7,1225,6.0,5,11,2,2.345207879911715,22,2.0,306.0,304.0,1.006578947368421,152.0,0.2727272727272727,0.0909090909090909,19.0,8,rolling,losing_streak_fitness,2_days,rep_1,7,7
train,1,0,53560,53560,86986,7,7,1225,6.0,5,11,2,194.33610060922803,27,187.0,510.0,323.0,1.5789473684210529,120.0,0.3703703703703703,6.925925925925926,19.0,5,rolling,losing_streak_fitness,2_days,rep_1,7,7
test,1,0,53560,53560,86986,8,7,1167,7.25,4,11,2,-117.57609828910334,29,-131.0,306.0,437.0,0.700228832951945,259.0,0.2068965517241379,-4.517241379310345,19.0,12,rolling,losing_streak_fitness,2_days,rep_1,8,8
train,1,0,53560,53560,86986,8,7,1167,7.25,4,11,2,232.91814251172252,31,251.0,612.0,361.0,1.6952908587257618,114.0,0.3870967741935484,8.096774193548388,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,8,8
test,1,0,53560,53560,86986,8,7,1167,7.25,4,11,2,-117.57609828910334,29,-131.0,306.0,437.0,0.700228832951945,259.0,0.2068965517241379,-4.517241379310345,19.0,12,rolling,losing_streak_fitness,2_days,rep_1,9,8
train,1,0,53560,53560,86986,8,7,1167,7.25,4,11,2,232.91814251172252,31,251.0,612.0,361.0,1.6952908587257618,114.0,0.3870967741935484,8.096774193548388,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,9,8
test,1,0,53560,53560,86986,8,7,1167,7.25,4,11,2,-117.57609828910334,29,-131.0,306.0,437.0,0.700228832951945,259.0,0.2068965517241379,-4.517241379310345,19.0,12,rolling,losing_streak_fitness,2_days,rep_1,10,8
train,1,0,53560,53560,86986,8,7,1167,7.25,4,11,2,232.91814251172252,31,251.0,612.0,361.0,1.6952908587257618,114.0,0.3870967741935484,8.096774193548388,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,10,8
test,1,0,53560,53560,86986,11,7,1167,9.25,5,8,2,119.70430234540444,13,83.0,216.0,133.0,1.6240601503759398,95.0,0.4615384615384615,6.384615384615385,19.0,5,rolling,losing_streak_fitness,2_days,rep_1,11,11
train,1,0,53560,53560,86986,11,7,1167,9.25,5,8,2,271.9319767883137,12,157.0,252.0,95.0,2.652631578947368,38.0,0.5833333333333334,13.083333333333334,19.0,2,rolling,losing_streak_fitness,2_days,rep_1,11,11
test,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,-129.24395537122808,29,-96.0,322.0,418.0,0.7703349282296651,204.0,0.2413793103448276,-3.310344827586207,19.0,8,rolling,losing_streak_fitness,2_days,rep_1,12,12
train,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,284.7283305577832,32,302.0,644.0,342.0,1.8830409356725144,114.0,0.4375,9.4375,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,12,12
test,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,-129.24395537122808,29,-96.0,322.0,418.0,0.7703349282296651,204.0,0.2413793103448276,-3.310344827586207,19.0,8,rolling,losing_streak_fitness,2_days,rep_1,13,12
train,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,284.7283305577832,32,302.0,644.0,342.0,1.8830409356725144,114.0,0.4375,9.4375,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,13,12
test,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,-129.24395537122808,29,-96.0,322.0,418.0,0.7703349282296651,204.0,0.2413793103448276,-3.310344827586207,19.0,8,rolling,losing_streak_fitness,2_days,rep_1,14,12
train,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,284.7283305577832,32,302.0,644.0,342.0,1.8830409356725144,114.0,0.4375,9.4375,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,14,12
test,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,-129.24395537122808,29,-96.0,322.0,418.0,0.7703349282296651,204.0,0.2413793103448276,-3.310344827586207,19.0,8,rolling,losing_streak_fitness,2_days,rep_1,15,12
train,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,284.7283305577832,32,302.0,644.0,342.0,1.8830409356725144,114.0,0.4375,9.4375,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,15,12
test,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,-129.24395537122808,29,-96.0,322.0,418.0,0.7703349282296651,204.0,0.2413793103448276,-3.310344827586207,19.0,8,rolling,losing_streak_fitness,2_days,rep_1,16,12
train,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,284.7283305577832,32,302.0,644.0,342.0,1.8830409356725144,114.0,0.4375,9.4375,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,16,12
test,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,-129.24395537122808,29,-96.0,322.0,418.0,0.7703349282296651,204.0,0.2413793103448276,-3.310344827586207,19.0,8,rolling,losing_streak_fitness,2_days,rep_1,17,12
train,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,284.7283305577832,32,302.0,644.0,342.0,1.8830409356725144,114.0,0.4375,9.4375,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,17,12
test,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,-129.24395537122808,29,-96.0,322.0,418.0,0.7703349282296651,204.0,0.2413793103448276,-3.310344827586207,19.0,8,rolling,losing_streak_fitness,2_days,rep_1,18,12
train,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,284.7283305577832,32,302.0,644.0,342.0,1.8830409356725144,114.0,0.4375,9.4375,19.0,6,rolling,losing_streak_fitness,2_days,rep_1,18,12
test,1,0,53560,53560,86986,12,7,1167,7.25,4,10,2,-129.24395537122808,29,-96.0,322.0,418.0,0.7703349282296651,204.0,0.2413793103448276,-3.310344827586207,19.0,8,rolling,losing_streak_fitness,2_days,rep_1,19,12
