analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,228.90761530502195,65.48136838693978,3,-536.0910835596077,240.60005205952507,3,764.9986988646297,182.4188608367278,3
1,364.18926150087435,81.7906041303129,3,-406.4115368728326,210.28412160188313,3,770.6007983737069,139.2524274166682,3
2,420.6953060638348,58.00184846420677,3,-260.66076356553873,33.17494293322688,3,681.3560696293735,38.631835349054185,3
3,539.4841812788933,97.90436760075204,3,-354.1415667019005,256.24097647642276,3,893.6257479807937,237.70814826426493,3
4,557.9127970863934,85.13766306541238,3,-190.78957722919145,127.3265803240361,3,748.702374315585,76.25979659654483,3
5,581.224395093608,91.51354758117725,3,-243.74197986728382,102.08522343770778,3,824.9663749608917,142.71860059269608,3
6,608.1441238857387,73.73509011927004,3,-227.2204398055038,97.76004417516866,3,835.3645636912424,136.31598670563886,3
7,618.2389928639305,70.71694941117664,3,-226.75881706578957,3.197523937030637,3,844.99780992972,70.95810224680177,3
8,631.7758284896014,64.81094445496277,3,-272.36770720670864,45.76927390010364,3,904.1435356963101,66.78566370870759,3
9,658.3412839625813,84.4570028281824,3,-272.36770720670864,45.76927390010364,3,930.70899116929,105.74763464718605,3
10,665.3520781093168,92.80671575427009,3,-273.3493990223319,47.304982914696396,3,938.7014771316486,118.463610093479,3
11,675.0725564141734,76.78547838965905,3,-246.98491006294213,68.5668351221731,3,922.0574664771153,142.27187968562185,3
12,724.1677736974716,147.77742740906163,3,-283.8082845328294,61.65595845782682,3,1007.976058230301,199.21561622634675,3
13,724.1677736974716,147.77742740906163,3,-283.8082845328294,61.65595845782682,3,1007.976058230301,199.21561622634675,3
14,728.1204933335451,146.59503937617984,3,-319.27413804249034,41.26563165096396,3,1047.3946313760355,184.07418222295254,3
15,742.218396447806,161.6899327264155,3,-310.929605832732,33.937212446650186,3,1053.1480022805379,192.44286794738133,3
16,742.218396447806,161.6899327264155,3,-310.929605832732,33.937212446650186,3,1053.1480022805379,192.44286794738133,3
17,742.218396447806,161.6899327264155,3,-310.929605832732,33.937212446650186,3,1053.1480022805379,192.44286794738133,3
18,750.3833622570831,160.23779568337767,3,-311.5342192930529,34.29346137202124,3,1061.917581550136,192.053945971461,3
19,755.004098151543,159.96509019430667,3,-314.1643862080296,36.15667832722148,3,1069.1684843595724,192.6384289739102,3
20,760.2776089515455,160.14276546273982,3,-308.8749169548667,32.94726739306836,3,1069.1525259064122,192.63624549886165,3
21,760.2776089515455,160.14276546273982,3,-308.8749169548667,32.94726739306836,3,1069.1525259064122,192.63624549886165,3
22,760.2776089515455,160.14276546273982,3,-308.8749169548667,32.94726739306836,3,1069.1525259064122,192.63624549886165,3
23,760.2776089515455,160.14276546273982,3,-308.8749169548667,32.94726739306836,3,1069.1525259064122,192.63624549886165,3
24,761.7383937130593,157.89768748611095,3,-305.83241363317325,38.02262228118013,3,1067.5708073462324,195.11309006785888,3
