generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
0,1,0,86986,86986,125287,207.0,-5680.30800389992,-1000.0,-237384.75311982445,24397.25316485836,237591.75311982445,0,rolling,losing_streak_fitness,3_days,rep_1
1,1,0,86986,86986,125287,560.0285706997457,-2501.885625153152,-678.9242623561248,-167205.2791481178,16669.12107574147,167765.30771881755,0,rolling,losing_streak_fitness,3_days,rep_1
2,1,0,86986,86986,125287,491.93495504995377,-327.54479679505096,-200.7853612349966,-4948.142896426576,679.9238190795896,5440.07785147653,1,rolling,losing_streak_fitness,3_days,rep_1
3,1,0,86986,86986,125287,516.8423357272505,-188.1140805687807,33.88764560354812,-3009.875,549.2701713319683,3526.7173357272504,2,rolling,losing_streak_fitness,3_days,rep_1
4,1,0,86986,86986,125287,516.8423357272505,80.07361952275694,152.73506473629428,-1000.0,347.81149967091466,1516.8423357272504,3,rolling,losing_streak_fitness,3_days,rep_1
5,1,0,86986,86986,125287,602.5744767246617,82.45038227767729,236.36944689293253,-1000.0,493.9082511640642,1602.5744767246615,0,rolling,losing_streak_fitness,3_days,rep_1
6,1,0,86986,86986,125287,602.5744767246617,316.6209176165999,382.12039987417575,-1000.0,280.42815204011345,1602.5744767246615,1,rolling,losing_streak_fitness,3_days,rep_1
7,1,0,86986,86986,125287,602.5744767246617,330.87955735684324,480.0999895855029,-1000.0,391.64772795533537,1602.5744767246615,2,rolling,losing_streak_fitness,3_days,rep_1
8,1,0,86986,86986,125287,602.5744767246617,472.9864148565428,525.4759747124506,-1000.0,273.96958873201254,1602.5744767246615,3,rolling,losing_streak_fitness,3_days,rep_1
9,1,0,86986,86986,125287,602.5744767246617,520.0068030498604,568.0147324226803,-1000.0,234.26542857505063,1602.5744767246615,4,rolling,losing_streak_fitness,3_days,rep_1
10,1,0,86986,86986,125287,659.640053362438,563.0474104471061,602.5744767246617,-1000.0,225.4791387443596,1659.640053362438,0,rolling,losing_streak_fitness,3_days,rep_1
11,1,0,86986,86986,125287,659.640053362438,571.2609105046279,602.5744767246617,-1000.0,230.34778983825672,1659.640053362438,1,rolling,losing_streak_fitness,3_days,rep_1
12,1,0,86986,86986,125287,659.640053362438,589.842321808977,602.5744767246617,-1000.0,174.0684484957714,1659.640053362438,2,rolling,losing_streak_fitness,3_days,rep_1
13,1,0,86986,86986,125287,659.640053362438,609.5715328186806,659.640053362438,-1000.0,177.88123801166273,1659.640053362438,3,rolling,losing_streak_fitness,3_days,rep_1
14,1,0,86986,86986,125287,659.640053362438,642.8563110294457,659.640053362438,336.58282784479667,55.99858737047204,323.05722551764137,4,rolling,losing_streak_fitness,3_days,rep_1
15,1,0,86986,86986,125287,659.640053362438,589.0538952057597,659.640053362438,-1000.0,291.06397121728185,1659.640053362438,5,rolling,losing_streak_fitness,3_days,rep_1
16,1,0,86986,86986,125287,659.640053362438,592.9248283559427,659.640053362438,-1000.0,291.4242920345586,1659.640053362438,6,rolling,losing_streak_fitness,3_days,rep_1
17,1,0,86986,86986,125287,659.640053362438,617.3838332352566,659.640053362438,-1000.0,238.0658955211537,1659.640053362438,7,rolling,losing_streak_fitness,3_days,rep_1
18,1,0,86986,86986,125287,659.640053362438,654.2981597301725,659.640053362438,210.818510677892,44.99307037727648,448.8215426845461,8,rolling,losing_streak_fitness,3_days,rep_1
19,1,0,86986,86986,125287,659.640053362438,648.0966725746616,659.640053362438,210.818510677892,61.21618788101868,448.8215426845461,9,rolling,losing_streak_fitness,3_days,rep_1
