dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
train,1,0,22406,22406,53560,0,9,3629,6.0,8,4,15,16.0,1,16.0,16.0,0.0,inf,0.0,1.0,16.0,0.0,0,rolling,net_profit_fitness,1_day,rep_1
test,1,0,22406,22406,53560,0,9,3629,6.0,8,4,15,-356.0,9,-356.0,64.0,420.0,0.1523809523809524,356.0,0.4444444444444444,-39.55555555555556,84.0,3,rolling,net_profit_fitness,1_day,rep_1
train,1,0,22406,22406,53560,1,5,2379,9.5,5,28,16,47.0,2,47.0,136.0,89.0,1.5280898876404494,89.0,0.5,23.5,89.0,1,rolling,net_profit_fitness,1_day,rep_1
test,1,0,22406,22406,53560,1,5,2379,9.5,5,28,16,-487.0,8,-487.0,136.0,623.0,0.218298555377207,623.0,0.125,-60.875,89.0,7,rolling,net_profit_fitness,1_day,rep_1
train,1,0,22406,22406,53560,2,9,3973,7.75,6,4,14,32.0,2,32.0,32.0,0.0,inf,0.0,1.0,16.0,0.0,0,rolling,net_profit_fitness,1_day,rep_1
test,1,0,22406,22406,53560,2,9,3973,7.75,6,4,14,-504.0,16,-504.0,128.0,632.0,0.2025316455696202,520.0,0.5,-31.5,79.0,3,rolling,net_profit_fitness,1_day,rep_1
train,1,0,22406,22406,53560,3,9,3973,8.75,6,4,12,32.0,2,32.0,32.0,0.0,inf,0.0,1.0,16.0,0.0,0,rolling,net_profit_fitness,1_day,rep_1
test,1,0,22406,22406,53560,3,9,3973,8.75,6,4,12,-265.0,10,-265.0,80.0,345.0,0.2318840579710145,265.0,0.5,-26.5,69.0,3,rolling,net_profit_fitness,1_day,rep_1
train,1,0,22406,22406,53560,4,8,3796,9.5,5,9,8,82.0,2,82.0,82.0,0.0,inf,0.0,1.0,41.0,0.0,0,rolling,net_profit_fitness,1_day,rep_1
test,1,0,22406,22406,53560,4,8,3796,9.5,5,9,8,-130.0,10,-130.0,164.0,294.0,0.5578231292517006,253.0,0.4,-13.0,49.0,4,rolling,net_profit_fitness,1_day,rep_1
