walk_forward_type,fitness_function,train_size,repetition,window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
rolling,net_profit_fitness,1_day,rep_1,1,0,100,16.0,102.0,86.0,-1183.93,99.08,1283.01,-1000.0,102.0,1102.0,1667.0057367518675,16.796873205896077,-1650.2088635459713,11584.0,140.0,-11444.0,16.0,102.0,86.0,7,101,True
rolling,net_profit_fitness,1_day,rep_1,2,0,100,82.0,106.0,24.0,-1243.76,93.96,1337.72,-377.0,106.0,483.0,2689.5441359066594,35.503569318357755,-2654.0405665883018,20994.0,160.0,-20834.0,82.0,131.0,49.0,3,101,True
rolling,net_profit_fitness,1_day,rep_1,3,0,100,222.0,222.0,0.0,-1306.47,206.93,1513.4,-255.5,222.0,477.5,3014.2253019321697,58.295529741814576,-2955.929772190355,16558.0,432.0,-16126.0,222.0,222.0,0.0,0,101,False
rolling,net_profit_fitness,1_day,rep_1,4,0,100,199.0,447.0,248.0,-2118.91,435.7,2554.6099999999997,-881.0,447.0,1328.0,3349.504730749478,37.71008492499725,-3311.7946458244805,17036.0,171.0,-16865.0,199.0,447.0,248.0,19,101,True
rolling,net_profit_fitness,1_day,rep_2,1,0,100,21.0,146.0,125.0,-1194.78,121.5,1316.28,-1000.0,146.0,1146.0,1816.6465863777632,126.5670661041893,-1690.079520273574,10941.0,1146.0,-9795.0,21.0,146.0,125.0,10,101,True
rolling,net_profit_fitness,1_day,rep_2,2,0,100,71.0,375.0,304.0,-1301.02,360.17,1661.19,-399.5,375.0,774.5,2235.1118426358244,55.47573042932077,-2179.6361122065036,11175.0,285.0,-10890.0,71.0,375.0,304.0,21,101,True
rolling,net_profit_fitness,1_day,rep_2,3,0,100,93.0,262.0,169.0,-1106.08,254.2,1360.28,-220.5,262.0,482.5,1998.7492234349504,33.98098101448913,-1964.7682424204613,14015.0,190.0,-13825.0,93.0,262.0,169.0,8,101,True
rolling,net_profit_fitness,1_day,rep_2,4,0,100,264.0,416.0,152.0,-2396.21,400.05,2796.26,-527.0,416.0,943.0,4485.957966214849,68.42386833244491,-4417.534097882404,22872.0,599.0,-22273.0,264.0,424.0,160.0,1,101,True
rolling,net_profit_fitness,1_day,rep_3,1,0,100,64.0,271.0,207.0,-1197.53,237.55,1435.08,-965.0,251.0,1216.0,2080.6090913504395,48.47083367522904,-2032.1382576752105,17152.0,305.0,-16847.0,64.0,271.0,207.0,98,101,True
rolling,net_profit_fitness,1_day,rep_3,2,0,100,106.0,106.0,0.0,-1186.73,84.65,1271.38,-489.0,106.0,595.0,1874.5998406932808,107.39010121228044,-1767.2097394810005,9892.0,833.0,-9059.0,106.0,198.0,92.0,3,101,True
rolling,net_profit_fitness,1_day,rep_3,3,0,100,252.0,262.0,10.0,-1392.9,237.67,1630.5700000000002,-330.0,262.0,592.0,2868.2716630984123,108.97929142546285,-2759.2923716729497,16815.0,858.0,-15957.0,252.0,355.0,103.0,3,101,True
rolling,net_profit_fitness,1_day,rep_3,4,0,100,278.0,434.0,156.0,-2194.1,423.96,2618.06,-578.5,434.0,1012.5,4032.1338774972,38.16972198965663,-3993.9641555075436,28565.0,242.0,-28323.0,278.0,434.0,156.0,9,101,True
