analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,139.0,32.38151478853329,3,-339.4166666666667,243.6719533170228,3,478.4166666666667,259.93861454838395,3
1,170.25,30.652283764835534,3,-387.5,206.54887436149343,3,557.75,191.54682847805128,3
2,181.33333333333334,35.991607818119675,3,-400.0,214.70459356986288,3,581.3333333333334,182.90201156174675,3
3,216.41666666666666,47.34008167856635,3,-468.3333333333333,188.75137968590676,3,684.75,172.46811299483738,3
4,231.0,34.2408746967714,3,-439.0833333333333,161.33666921482336,3,670.0833333333334,152.48469868591187,3
5,239.25,38.140365755980895,3,-440.0,151.99568250447115,3,679.25,136.16809464775514,3
6,248.0,25.49387181265333,3,-426.4166666666667,143.7750702776157,3,674.4166666666666,136.0333905088502,3
7,251.83333333333334,24.992915662910026,3,-331.0833333333333,126.15970368280567,3,582.9166666666666,101.29546304417258,3
8,253.25,26.269040713356855,3,-389.3333333333333,205.55068312543585,3,642.5833333333334,193.18002182765517,3
9,259.0,30.866648668101305,3,-404.9166666666667,179.01926106800164,3,663.9166666666666,168.96381515973573,3
10,259.4166666666667,31.287311059490765,3,-404.9166666666667,179.01926106800164,3,664.3333333333334,168.29017598580532,3
11,259.8333333333333,31.58553202549125,3,-398.6666666666667,172.05855350238573,3,658.5,160.55606497420146,3
12,259.8333333333333,31.58553202549125,3,-398.6666666666667,172.05855350238573,3,658.5,160.55606497420146,3
13,261.3333333333333,33.14394112554108,3,-387.6666666666667,190.91593918092153,3,649.0,176.21222999553692,3
14,261.4166666666667,33.234332148146635,3,-398.6666666666667,172.05855350238573,3,660.0833333333334,157.96248236000005,3
15,261.4166666666667,33.234332148146635,3,-398.6666666666667,172.05855350238573,3,660.0833333333334,157.96248236000005,3
16,262.0,33.87753680538182,3,-401.1666666666667,167.77893441470337,3,663.1666666666666,152.9267253730797,3
17,265.25,37.756621935761146,3,-388.5,189.48598233114765,3,653.75,168.36511663643392,3
18,265.25,37.756621935761146,3,-388.5,189.48598233114765,3,653.75,168.36511663643392,3
19,267.1666666666667,38.27069157114009,3,-396.75,175.34127437657114,3,663.9166666666666,152.99965958567796,3
20,267.1666666666667,38.27069157114009,3,-396.75,175.34127437657114,3,663.9166666666666,152.99965958567796,3
21,267.5,38.711270968543516,3,-388.5,189.48598233114765,3,656.0,165.997740948484,3
22,267.5,38.711270968543516,3,-388.5,189.48598233114765,3,656.0,165.997740948484,3
23,267.5,38.711270968543516,3,-388.5,189.48598233114765,3,656.0,165.997740948484,3
24,267.5,38.711270968543516,3,-388.5,189.48598233114765,3,656.0,165.997740948484,3
25,267.5,38.711270968543516,3,-388.5,189.48598233114765,3,656.0,165.997740948484,3
26,267.5,38.711270968543516,3,-388.5,189.48598233114765,3,656.0,165.997740948484,3
27,267.5,38.711270968543516,3,-388.5,189.48598233114765,3,656.0,165.997740948484,3
28,267.5,38.711270968543516,3,-388.5,189.48598233114765,3,656.0,165.997740948484,3
29,270.0,39.69178126514355,3,-413.0,218.1124996418133,3,683.0,203.08680410110352,3
30,270.0,39.69178126514355,3,-413.0,218.1124996418133,3,683.0,203.08680410110352,3
31,270.0,39.69178126514355,3,-413.0,218.1124996418133,3,683.0,203.08680410110352,3
32,270.0,39.69178126514355,3,-413.0,218.1124996418133,3,683.0,203.08680410110352,3
33,270.0,39.69178126514355,3,-413.0,218.1124996418133,3,683.0,203.08680410110352,3
