walk_forward_type,fitness_function,train_size,repetition,window_id,first_generation,last_generation,first_train_fitness,last_train_fitness,train_improvement,first_test_fitness,last_test_fitness,test_improvement,first_generalization_gap,last_generalization_gap,gap_change,number_of_generations_observed,overfit_flag
rolling,net_profit_fitness,1_day,rep_1,1,0,100,16.0,102.0,86.0,-356.0,39.0,395.0,372.0,63.0,-309.0,101,False
rolling,net_profit_fitness,1_day,rep_1,2,0,100,82.0,131.0,49.0,82.0,7.0,-75.0,0.0,124.0,124.0,101,True
rolling,net_profit_fitness,1_day,rep_1,3,0,100,222.0,222.0,0.0,-930.0,-930.0,0.0,1152.0,1152.0,0.0,101,False
rolling,net_profit_fitness,1_day,rep_1,4,0,100,199.0,447.0,248.0,-1000.0,-1000.0,0.0,1199.0,1447.0,248.0,101,True
rolling,net_profit_fitness,1_day,rep_2,1,0,100,21.0,146.0,125.0,-45.0,-620.0,-575.0,66.0,766.0,700.0,101,True
rolling,net_profit_fitness,1_day,rep_2,2,0,100,71.0,375.0,304.0,-88.0,-217.0,-129.0,159.0,592.0,433.0,101,True
rolling,net_profit_fitness,1_day,rep_2,3,0,100,93.0,262.0,169.0,-87.0,222.0,309.0,180.0,40.0,-140.0,101,False
rolling,net_profit_fitness,1_day,rep_2,4,0,100,264.0,424.0,160.0,-72.0,-72.0,0.0,336.0,496.0,160.0,101,True
rolling,net_profit_fitness,1_day,rep_3,1,0,100,64.0,271.0,207.0,-18.0,-361.0,-343.0,82.0,632.0,550.0,101,True
rolling,net_profit_fitness,1_day,rep_3,2,0,100,106.0,198.0,92.0,-48.0,-286.0,-238.0,154.0,484.0,330.0,101,True
rolling,net_profit_fitness,1_day,rep_3,3,0,100,252.0,355.0,103.0,-511.0,-919.0,-408.0,763.0,1274.0,511.0,101,True
rolling,net_profit_fitness,1_day,rep_3,4,0,100,278.0,434.0,156.0,-1000.0,-1000.0,0.0,1278.0,1434.0,156.0,101,True
