dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition,analysis_generation,selected_generation
test,1,0,53560,53560,86986,0,14,1900,8.75,6,21,12,64.0,2,32.0,101.0,69.0,1.463768115942029,69.0,0.5,16.0,69.0,1,rolling,net_profit_fitness,2_days,rep_1,0,0
train,1,0,53560,53560,86986,0,14,1900,8.75,6,21,12,101.0,1,101.0,101.0,0.0,inf,0.0,1.0,101.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1,0,0
test,1,0,53560,53560,86986,0,14,1900,8.75,6,21,12,64.0,2,32.0,101.0,69.0,1.463768115942029,69.0,0.5,16.0,69.0,1,rolling,net_profit_fitness,2_days,rep_1,1,0
train,1,0,53560,53560,86986,0,14,1900,8.75,6,21,12,101.0,1,101.0,101.0,0.0,inf,0.0,1.0,101.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1,1,0
test,1,0,53560,53560,86986,0,14,1900,8.75,6,21,12,64.0,2,32.0,101.0,69.0,1.463768115942029,69.0,0.5,16.0,69.0,1,rolling,net_profit_fitness,2_days,rep_1,2,0
train,1,0,53560,53560,86986,0,14,1900,8.75,6,21,12,101.0,1,101.0,101.0,0.0,inf,0.0,1.0,101.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1,2,0
test,1,0,53560,53560,86986,3,8,462,8.75,8,27,8,262.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1,3,3
train,1,0,53560,53560,86986,3,8,462,8.75,8,27,8,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1,3,3
test,1,0,53560,53560,86986,3,8,462,8.75,8,27,8,262.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1,4,3
train,1,0,53560,53560,86986,3,8,462,8.75,8,27,8,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1,4,3
