analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,221.66666666666666,35.03688532580105,3,-1536.5,394.4353559203333,3,1758.1666666666667,369.10714343308683,3
1,281.1666666666667,11.060440015358047,3,-1649.5,220.5578155495742,3,1930.6666666666667,211.4617774760567,3
2,324.6666666666667,2.0816659994661384,3,-1506.0,243.29611587528478,3,1830.6666666666667,242.0440731216803,3
3,340.3333333333333,25.289984842489194,3,-1397.5,60.788568004189734,3,1737.8333333333333,40.633524746609616,3
4,382.3333333333333,41.845947633353134,3,-1553.0,220.18003996729584,3,1935.3333333333333,249.1672798208732,3
5,410.5,36.010415160061676,3,-1400.5,56.451306450781104,3,1811.0,31.74901573277509,3
6,415.0,33.28287848128524,3,-1400.5,56.451306450781104,3,1815.5,27.290108097990377,3
7,419.1666666666667,32.26582299172507,3,-1400.5,56.451306450781104,3,1819.6666666666667,24.684678108764793,3
8,419.1666666666667,32.26582299172507,3,-1400.5,56.451306450781104,3,1819.6666666666667,24.684678108764793,3
9,425.3333333333333,35.157976809443014,3,-1388.0,75.24460113523095,3,1813.3333333333333,41.833997338687766,3
10,428.5,30.112289849827096,3,-1388.0,75.24460113523095,3,1816.5,45.8257569495584,3
11,433.6666666666667,34.312291286554064,3,-1368.0,80.26051333003048,3,1801.6666666666667,47.487717710302,3
12,436.8333333333333,38.795403507804025,3,-1368.0,80.26051333003048,3,1804.8333333333333,45.02314219746703,3
13,443.8333333333333,33.24655370611114,3,-1368.0,80.26051333003048,3,1811.8333333333333,48.64240262706332,3
14,454.8333333333333,17.387735140993296,3,-1368.0,80.26051333003048,3,1822.8333333333333,67.69478069492018,3
15,454.8333333333333,17.387735140993296,3,-1368.0,80.26051333003048,3,1822.8333333333333,67.69478069492018,3
16,458.0,14.343988287781052,3,-1368.0,80.26051333003048,3,1826.0,73.17957365276187,3
17,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
18,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
19,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
20,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
21,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
22,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
23,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
24,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
25,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
26,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
27,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
28,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
29,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
30,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
31,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
32,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
33,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
34,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
35,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
36,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
37,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
38,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
39,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
40,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
41,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
42,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
43,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
44,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
45,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
46,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
47,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
48,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
49,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
50,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
51,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
52,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
53,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
54,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
55,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
56,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
57,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
58,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
59,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
60,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
61,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
62,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
63,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
64,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
65,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
66,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
67,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
68,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
69,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
70,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
71,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
72,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
73,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
74,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
75,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
76,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
77,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
78,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
79,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
80,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
81,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
82,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
83,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
84,461.1666666666667,19.813715788143664,3,-1368.0,80.26051333003048,3,1829.1666666666667,70.61397406557238,3
