analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,197.36357696265586,338.22136642574293,4,-529.4720113106209,581.5856362722928,4,726.8355882732767,763.4700646998895,4
1,249.0030959904588,325.4498272896891,4,-303.90661446562,496.21847296534617,4,552.9097104560788,756.5123918432292,4
2,361.645365728063,360.0094988513786,4,-499.20516697967577,601.0814601042515,4,860.8505327077387,769.560601158534,4
3,414.66045249557664,452.2266528134811,4,-499.20516697967577,601.0814601042515,4,913.8656194752524,859.0254803213165,4
4,545.7992010644546,617.4884421238485,4,-308.4250724747925,495.4262335523746,4,854.2242735392471,1039.8662905938497,4
5,548.6436604609185,614.5317418827059,4,-557.6250724747924,539.4603581944737,4,1106.268732935711,897.0147251910711,4
6,559.1782945989477,604.3731020370474,4,-594.45,523.3194148892243,4,1153.6282945989478,854.2272090645334,4
7,600.9743422700524,564.9676568124089,4,-286.96767254466454,562.653599667739,4,887.9420148147169,1022.3608479949404,4
8,600.9743422700524,564.9676568124089,4,-286.96767254466454,562.653599667739,4,887.9420148147169,1022.3608479949404,4
9,606.4809833553527,559.0161796445899,4,-187.2670819843296,553.4871994967597,4,793.7480653396824,1072.371589753589,4
10,606.4809833553527,559.0161796445899,4,-187.2670819843296,553.4871994967597,4,793.7480653396824,1072.371589753589,4
11,606.4809833553527,559.0161796445899,4,-187.2670819843296,553.4871994967597,4,793.7480653396824,1072.371589753589,4
12,621.9262434492205,548.6111983413401,4,-164.7710668841613,560.8222838152983,4,786.6973103333819,1079.6586652801902,4
13,621.9262434492205,548.6111983413401,4,-164.7710668841613,560.8222838152983,4,786.6973103333819,1079.6586652801902,4
14,628.9199701448681,541.5839992133917,4,-213.9040176173247,547.8078510416674,4,842.8239877621927,1042.9280902884516,4
15,639.7452876921735,531.2500564714112,4,-184.3236187018266,553.5940914769758,4,824.0689063940001,1054.014931476259,4
16,644.0754147110957,527.3087143406982,4,-200.34633478105474,549.6776015027392,4,844.4217494921504,1042.0405556889646,4
17,648.1801936225255,527.5341209760311,4,-183.1206855049444,565.5917934290948,4,831.3008791274699,1048.1448892966507,4
18,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
19,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
20,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
21,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
22,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
23,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
24,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
25,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
26,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
27,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
28,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
29,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
30,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
31,659.0055111698309,518.0730144780621,4,-153.54028658944628,572.8146375956998,4,812.5457977592773,1058.7540945378641,4
