dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
test,1,0,22406,22406,53560,0,9,361,5.5,5,12,20,-380.0,5,-380.0,56.0,436.0,0.128440366972477,436.0,0.2,-76.0,109.0,4,0,0
train,1,0,22406,22406,53560,0,9,361,5.5,5,12,20,3.0,3,3.0,112.0,109.0,1.0275229357798166,109.0,0.6666666666666666,1.0,109.0,1,0,0
test,1,0,22406,22406,53560,1,7,1477,8.25,4,15,2,-34.0,16,-34.0,213.0,247.0,0.8623481781376519,190.0,0.1875,-2.125,19.0,10,1,1
train,1,0,22406,22406,53560,1,7,1477,8.25,4,15,2,66.0,6,66.0,142.0,76.0,1.868421052631579,57.0,0.3333333333333333,11.0,19.0,3,1,1
test,1,0,22406,22406,53560,2,5,1841,7.25,4,8,2,-214.0,46,-214.0,432.0,646.0,0.6687306501547987,299.0,0.2608695652173913,-4.652173913043479,19.0,9,2,2
train,1,0,22406,22406,53560,2,5,1841,7.25,4,8,2,117.0,17,117.0,288.0,171.0,1.6842105263157894,99.0,0.4705882352941176,6.882352941176471,19.0,5,2,2
test,1,0,22406,22406,53560,3,5,427,7.25,4,8,2,-149.0,31,-149.0,288.0,437.0,0.6590389016018307,270.0,0.2580645161290322,-4.806451612903226,19.0,14,3,3
train,1,0,22406,22406,53560,3,5,427,7.25,4,8,2,157.0,12,157.0,252.0,95.0,2.652631578947368,40.0,0.5833333333333334,13.083333333333334,19.0,2,3,3
test,1,0,22406,22406,53560,3,5,427,7.25,4,8,2,-149.0,31,-149.0,288.0,437.0,0.6590389016018307,270.0,0.2580645161290322,-4.806451612903226,19.0,14,4,3
train,1,0,22406,22406,53560,3,5,427,7.25,4,8,2,157.0,12,157.0,252.0,95.0,2.652631578947368,40.0,0.5833333333333334,13.083333333333334,19.0,2,4,3
test,1,0,22406,22406,53560,5,4,427,7.25,4,9,2,-109.0,31,-109.0,328.0,437.0,0.7505720823798627,266.0,0.2580645161290322,-3.5161290322580645,19.0,14,5,5
train,1,0,22406,22406,53560,5,4,427,7.25,4,9,2,173.0,13,173.0,287.0,114.0,2.517543859649123,38.0,0.5384615384615384,13.307692307692308,19.0,2,5,5
test,1,0,22406,22406,53560,5,4,427,7.25,4,9,2,-109.0,31,-109.0,328.0,437.0,0.7505720823798627,266.0,0.2580645161290322,-3.5161290322580645,19.0,14,6,5
train,1,0,22406,22406,53560,5,4,427,7.25,4,9,2,173.0,13,173.0,287.0,114.0,2.517543859649123,38.0,0.5384615384615384,13.307692307692308,19.0,2,6,5
test,1,0,22406,22406,53560,5,4,427,7.25,4,9,2,-109.0,31,-109.0,328.0,437.0,0.7505720823798627,266.0,0.2580645161290322,-3.5161290322580645,19.0,14,7,5
train,1,0,22406,22406,53560,5,4,427,7.25,4,9,2,173.0,13,173.0,287.0,114.0,2.517543859649123,38.0,0.5384615384615384,13.307692307692308,19.0,2,7,5
test,1,0,22406,22406,53560,5,4,427,7.25,4,9,2,-109.0,31,-109.0,328.0,437.0,0.7505720823798627,266.0,0.2580645161290322,-3.5161290322580645,19.0,14,8,5
train,1,0,22406,22406,53560,5,4,427,7.25,4,9,2,173.0,13,173.0,287.0,114.0,2.517543859649123,38.0,0.5384615384615384,13.307692307692308,19.0,2,8,5
test,1,0,22406,22406,53560,5,4,427,7.25,4,9,2,-109.0,31,-109.0,328.0,437.0,0.7505720823798627,266.0,0.2580645161290322,-3.5161290322580645,19.0,14,9,5
