analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,165.0,135.19122259476268,4,-1096.0,1945.1217613986705,4,1261.0,2024.1862562521267,4
1,186.25,119.36044850228515,4,-1009.5,1994.639065094234,4,1195.75,2080.539413229175,4
2,241.75,170.03798595215915,4,-1036.5,1981.1595089744794,4,1278.25,2128.8584382245804,4
3,260.5,177.09225467723502,4,-1020.25,1990.399687667446,4,1280.75,2150.0895136404592,4
4,260.5,177.09225467723502,4,-1020.25,1990.399687667446,4,1280.75,2150.0895136404592,4
5,268.75,181.50734604050234,4,-855.75,2134.5623087649606,4,1124.5,2289.195127841516,4
6,271.0,181.68287389478036,4,-1005.75,1999.8140538560078,4,1276.75,2163.1624033653443,4
7,273.5,182.00824157163873,4,-993.75,2009.2785396753732,4,1267.25,2169.99099460497,4
8,273.5,182.00824157163873,4,-993.75,2009.2785396753732,4,1267.25,2169.99099460497,4
9,273.5,182.00824157163873,4,-993.75,2009.2785396753732,4,1267.25,2169.99099460497,4
10,278.25,183.00159379998124,4,-965.25,2032.715978684676,4,1243.5,2187.6912487826066,4
11,283.0,179.57356895341437,4,-965.25,2032.715978684676,4,1248.25,2184.926600597832,4
12,283.0,179.57356895341437,4,-965.25,2032.715978684676,4,1248.25,2184.926600597832,4
13,283.0,179.57356895341437,4,-965.25,2032.715978684676,4,1248.25,2184.926600597832,4
14,283.0,179.57356895341437,4,-965.25,2032.715978684676,4,1248.25,2184.926600597832,4
15,283.0,179.57356895341437,4,-965.25,2032.715978684676,4,1248.25,2184.926600597832,4
16,283.0,179.57356895341437,4,-965.25,2032.715978684676,4,1248.25,2184.926600597832,4
17,283.0,179.57356895341437,4,-965.25,2032.715978684676,4,1248.25,2184.926600597832,4
18,287.75,176.59062829040505,4,-987.25,2020.801058161507,4,1275.0,2170.0682016932096,4
19,287.75,176.59062829040505,4,-987.25,2020.801058161507,4,1275.0,2170.0682016932096,4
20,287.75,176.59062829040505,4,-987.25,2020.801058161507,4,1275.0,2170.0682016932096,4
21,287.75,176.59062829040505,4,-987.25,2020.801058161507,4,1275.0,2170.0682016932096,4
22,287.75,176.59062829040505,4,-987.25,2020.801058161507,4,1275.0,2170.0682016932096,4
23,287.75,176.59062829040505,4,-987.25,2020.801058161507,4,1275.0,2170.0682016932096,4
24,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
25,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
26,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
27,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
28,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
29,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
30,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
31,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
32,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
33,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
34,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
35,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
36,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
37,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
38,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
39,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
40,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
41,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
42,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
43,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
44,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
45,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
46,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
47,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
48,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
49,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
50,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
51,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
52,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
53,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
54,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
55,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
56,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
57,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
58,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
59,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
60,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
61,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
62,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
63,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
64,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
65,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
66,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
67,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
68,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
69,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
70,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
71,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
72,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
73,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
74,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
75,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
76,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
77,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
78,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
79,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
80,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
81,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
82,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
83,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
84,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
85,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
86,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
87,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
88,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
89,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
90,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
91,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
92,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
93,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
94,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
95,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
96,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
97,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
98,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
99,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
100,290.0,175.3396703544295,4,-1048.25,1992.479255433625,4,1338.25,2139.851455124864,4
