analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,210.27050983124843,147.87906898192284,3,-706.1951374187714,508.88494950148,3,916.4656472500197,405.86181959049566,3
1,350.5136770745983,258.84700988318616,3,-342.3824117048168,576.6325871111554,3,692.8960887794151,717.2918859111694,3
2,397.4339947951562,305.6072146919074,3,-248.11946269345444,653.1468850504518,3,645.5534574886107,905.949115009412,3
3,480.09569707645466,338.1363371082877,3,-178.6484972198683,728.0610048365899,3,658.7441942963229,1052.8913803143994,3
4,507.5915430997782,379.4433265461115,3,-178.6484972198683,728.0610048365899,3,686.2400403196465,1098.1678276484583,3
5,549.3185872332206,350.5863083181488,3,-128.76898625000786,754.524981210177,3,678.0875734832284,1068.3527989347792,3
6,549.3185872332206,350.5863083181488,3,-128.76898625000786,754.524981210177,3,678.0875734832284,1068.3527989347792,3
7,549.5972874362965,350.1620945562173,3,-228.5915355974844,685.7523166419317,3,778.1888230337809,967.0984885650255,3
8,562.4579680704613,330.76121566263987,3,-268.5653043204895,668.8465522205439,3,831.0232723909508,922.3554570313636,3
9,562.4579680704613,330.76121566263987,3,-268.5653043204895,668.8465522205439,3,831.0232723909508,922.3554570313636,3
10,562.4579680704613,330.76121566263987,3,-268.5653043204895,668.8465522205439,3,831.0232723909508,922.3554570313636,3
11,591.6194029850309,336.596528528524,3,-189.47183744232018,708.4841700591104,3,781.091240427351,1007.2962899132842,3
12,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
13,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
14,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
15,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
16,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
17,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
18,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
19,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
20,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
21,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
22,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
23,595.8848542415208,330.54647455305525,3,-272.454590014531,667.5622589466999,3,868.3394442560517,934.2809604881759,3
24,600.2672085260616,324.3883360302808,3,-263.32708004945056,670.6793372163371,3,863.5942885755122,937.7721425512514,3
25,600.2672085260616,324.3883360302808,3,-263.32708004945056,670.6793372163371,3,863.5942885755122,937.7721425512514,3
26,600.2672085260616,324.3883360302808,3,-263.32708004945056,670.6793372163371,3,863.5942885755122,937.7721425512514,3
27,600.2672085260616,324.3883360302808,3,-263.32708004945056,670.6793372163371,3,863.5942885755122,937.7721425512514,3
