dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
test,1,0,53560,53560,86986,0,10,938,5.75,9,25,6,-1000.0,2,82.0,121.0,39.0,3.102564102564102,39.0,0.5,41.0,39.0,1,0,0
train,1,0,53560,53560,86986,0,10,938,5.75,9,25,6,-26.08745973749755,5,-35.0,121.0,156.0,0.7756410256410257,117.0,0.2,-7.0,39.0,3,0,0
test,1,0,53560,53560,86986,0,10,938,5.75,9,25,6,-1000.0,2,82.0,121.0,39.0,3.102564102564102,39.0,0.5,41.0,39.0,1,1,0
train,1,0,53560,53560,86986,0,10,938,5.75,9,25,6,-26.08745973749755,5,-35.0,121.0,156.0,0.7756410256410257,117.0,0.2,-7.0,39.0,3,1,0
test,1,0,53560,53560,86986,2,9,1993,10.0,5,15,2,49.74012464801431,7,47.0,142.0,95.0,1.4947368421052631,95.0,0.2857142857142857,6.714285714285714,19.0,5,2,2
train,1,0,53560,53560,86986,2,9,1993,10.0,5,15,2,31.087577905008946,7,47.0,142.0,95.0,1.4947368421052631,76.0,0.2857142857142857,6.714285714285714,19.0,4,2,2
test,1,0,53560,53560,86986,3,12,1465,9.5,3,28,2,-1000.0,2,117.0,136.0,19.0,7.157894736842105,19.0,0.5,58.5,19.0,1,3,3
train,1,0,53560,53560,86986,3,12,1465,9.5,3,28,2,44.7213595499958,5,60.0,136.0,76.0,1.7894736842105263,57.0,0.2,12.0,19.0,3,3,3
test,1,0,53560,53560,86986,4,8,1993,9.5,5,11,2,-26.68107943843352,13,-37.0,153.0,190.0,0.8052631578947368,190.0,0.2307692307692307,-2.8461538461538463,19.0,10,4,4
train,1,0,53560,53560,86986,4,8,1993,9.5,5,11,2,116.91102386002784,11,141.0,255.0,114.0,2.236842105263158,76.0,0.4545454545454545,12.818181818181818,19.0,4,4,4
test,1,0,53560,53560,86986,4,8,1993,9.5,5,11,2,-26.68107943843352,13,-37.0,153.0,190.0,0.8052631578947368,190.0,0.2307692307692307,-2.8461538461538463,19.0,10,5,4
train,1,0,53560,53560,86986,4,8,1993,9.5,5,11,2,116.91102386002784,11,141.0,255.0,114.0,2.236842105263158,76.0,0.4545454545454545,12.818181818181818,19.0,4,5,4
test,1,0,53560,53560,86986,6,7,1642,9.5,4,10,2,-79.62225269985771,21,-139.0,184.0,323.0,0.5696594427244582,304.0,0.1904761904761904,-6.619047619047619,19.0,16,6,6
train,1,0,53560,53560,86986,6,7,1642,9.5,4,10,2,138.6129864045934,19,159.0,368.0,209.0,1.7607655502392343,95.0,0.4210526315789473,8.368421052631579,19.0,5,6,6
test,1,0,53560,53560,86986,7,7,1993,9.25,5,5,2,224.0,16,56.0,189.0,133.0,1.4210526315789471,55.0,0.5625,3.5,19.0,2,7,7
train,1,0,53560,53560,86986,7,7,1993,9.25,5,5,2,228.63070659909175,12,132.0,189.0,57.0,3.3157894736842106,38.0,0.75,11.0,19.0,2,7,7
test,1,0,53560,53560,86986,8,8,563,8.75,4,11,2,-66.55870509925651,17,-113.0,153.0,266.0,0.575187969924812,266.0,0.1764705882352941,-6.647058823529412,19.0,14,8,8
train,1,0,53560,53560,86986,8,8,563,8.75,4,11,2,311.88018532763505,13,173.0,306.0,133.0,2.300751879699248,38.0,0.4615384615384615,13.307692307692308,19.0,2,8,8
test,1,0,53560,53560,86986,8,8,563,8.75,4,11,2,-66.55870509925651,17,-113.0,153.0,266.0,0.575187969924812,266.0,0.1764705882352941,-6.647058823529412,19.0,14,9,8
train,1,0,53560,53560,86986,8,8,563,8.75,4,11,2,311.88018532763505,13,173.0,306.0,133.0,2.300751879699248,38.0,0.4615384615384615,13.307692307692308,19.0,2,9,8
test,1,0,53560,53560,86986,10,8,563,8.75,4,10,2,-75.3939314398658,17,-128.0,138.0,266.0,0.518796992481203,266.0,0.1764705882352941,-7.529411764705882,19.0,14,10,10
train,1,0,53560,53560,86986,10,8,563,8.75,4,10,2,374.9773326482549,13,208.0,322.0,114.0,2.824561403508772,38.0,0.5384615384615384,16.0,19.0,2,10,10
test,1,0,53560,53560,86986,10,8,563,8.75,4,10,2,-75.3939314398658,17,-128.0,138.0,266.0,0.518796992481203,266.0,0.1764705882352941,-7.529411764705882,19.0,14,11,10
train,1,0,53560,53560,86986,10,8,563,8.75,4,10,2,374.9773326482549,13,208.0,322.0,114.0,2.824561403508772,38.0,0.5384615384615384,16.0,19.0,2,11,10
test,1,0,53560,53560,86986,12,8,563,8.75,4,10,4,-157.85604395221898,17,-268.0,138.0,406.0,0.3399014778325123,406.0,0.1764705882352941,-15.764705882352942,29.0,14,12,12
train,1,0,53560,53560,86986,12,8,563,8.75,4,10,4,804.0379344284696,13,223.0,368.0,145.0,2.537931034482759,29.0,0.6153846153846154,17.153846153846153,29.0,1,12,12
test,1,0,53560,53560,86986,12,8,563,8.75,4,10,4,-157.85604395221898,17,-268.0,138.0,406.0,0.3399014778325123,406.0,0.1764705882352941,-15.764705882352942,29.0,14,13,12
train,1,0,53560,53560,86986,12,8,563,8.75,4,10,4,804.0379344284696,13,223.0,368.0,145.0,2.537931034482759,29.0,0.6153846153846154,17.153846153846153,29.0,1,13,12
test,1,0,53560,53560,86986,12,8,563,8.75,4,10,4,-157.85604395221898,17,-268.0,138.0,406.0,0.3399014778325123,406.0,0.1764705882352941,-15.764705882352942,29.0,14,14,12
train,1,0,53560,53560,86986,12,8,563,8.75,4,10,4,804.0379344284696,13,223.0,368.0,145.0,2.537931034482759,29.0,0.6153846153846154,17.153846153846153,29.0,1,14,12
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,15,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,15,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,16,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,16,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,17,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,17,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,18,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,18,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,19,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,19,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,20,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,20,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,21,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,21,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,22,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,22,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,23,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,23,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,24,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,24,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,25,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,25,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,26,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,26,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,27,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,27,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,28,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,28,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,29,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,29,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,30,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,30,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,31,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,31,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,32,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,32,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,33,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,33,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,34,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,34,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,35,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,35,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,36,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,36,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,37,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,37,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,38,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,38,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,39,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,39,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,40,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,40,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,41,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,41,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,42,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,42,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,43,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,43,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,44,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,44,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,45,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,45,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,46,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,46,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,47,15
train,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,894.1767163150693,13,248.0,368.0,120.0,3.066666666666667,24.0,0.6153846153846154,19.07692307692308,24.0,1,47,15
test,1,0,53560,53560,86986,15,8,563,8.75,4,10,3,-116.6249876960424,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,48,15
