dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
test,1,0,22406,22406,53560,0,9,3629,6.0,8,4,15,-356.0,9,-356.0,64.0,420.0,0.1523809523809524,356.0,0.4444444444444444,-39.55555555555556,84.0,3,0,0
train,1,0,22406,22406,53560,0,9,3629,6.0,8,4,15,16.0,1,16.0,16.0,0.0,inf,0.0,1.0,16.0,0.0,0,0,0
test,1,0,22406,22406,53560,1,5,2379,9.5,5,28,16,-487.0,8,-487.0,136.0,623.0,0.218298555377207,623.0,0.125,-60.875,89.0,7,1,1
train,1,0,22406,22406,53560,1,5,2379,9.5,5,28,16,47.0,2,47.0,136.0,89.0,1.5280898876404494,89.0,0.5,23.5,89.0,1,1,1
test,1,0,22406,22406,53560,1,5,2379,9.5,5,28,16,-487.0,8,-487.0,136.0,623.0,0.218298555377207,623.0,0.125,-60.875,89.0,7,2,1
train,1,0,22406,22406,53560,1,5,2379,9.5,5,28,16,47.0,2,47.0,136.0,89.0,1.5280898876404494,89.0,0.5,23.5,89.0,1,2,1
test,1,0,22406,22406,53560,1,5,2379,9.5,5,28,16,-487.0,8,-487.0,136.0,623.0,0.218298555377207,623.0,0.125,-60.875,89.0,7,3,1
train,1,0,22406,22406,53560,1,5,2379,9.5,5,28,16,47.0,2,47.0,136.0,89.0,1.5280898876404494,89.0,0.5,23.5,89.0,1,3,1
test,1,0,22406,22406,53560,4,8,3796,9.5,5,9,8,-130.0,10,-130.0,164.0,294.0,0.5578231292517006,253.0,0.4,-13.0,49.0,4,4,4
train,1,0,22406,22406,53560,4,8,3796,9.5,5,9,8,82.0,2,82.0,82.0,0.0,inf,0.0,1.0,41.0,0.0,0,4,4
test,1,0,22406,22406,53560,4,8,3796,9.5,5,9,8,-130.0,10,-130.0,164.0,294.0,0.5578231292517006,253.0,0.4,-13.0,49.0,4,5,4
train,1,0,22406,22406,53560,4,8,3796,9.5,5,9,8,82.0,2,82.0,82.0,0.0,inf,0.0,1.0,41.0,0.0,0,5,4
test,1,0,22406,22406,53560,6,8,1352,9.25,4,11,2,33.0,13,33.0,204.0,171.0,1.1929824561403508,76.0,0.3076923076923077,2.5384615384615383,19.0,4,6,6
train,1,0,22406,22406,53560,6,8,1352,9.25,4,11,2,83.0,3,83.0,102.0,19.0,5.368421052631579,19.0,0.6666666666666666,27.666666666666668,19.0,1,6,6
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,7,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,7,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,8,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,8,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,9,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,9,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,10,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,10,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,11,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,11,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,12,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,12,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,13,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,13,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,14,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,14,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,15,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,15,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,16,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,16,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,17,7
train,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,102.0,2,102.0,102.0,0.0,inf,0.0,1.0,51.0,0.0,0,17,7
test,1,0,22406,22406,53560,7,8,1352,9.25,5,11,2,39.0,9,39.0,153.0,114.0,1.3421052631578947,76.0,0.3333333333333333,4.333333333333333,19.0,4,18,7
