analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,129.75,97.510255870857,4,-551.0,511.1933750222774,4,680.75,591.4408254424106,4
1,137.5,86.0096893766433,4,-583.75,498.5768914286608,4,721.25,568.346945096039,4
2,140.0,83.98015638629559,4,-611.25,450.3135019072824,4,751.25,518.5732831529214,4
3,162.75,92.5648421378225,4,-602.5,465.50796627626755,4,765.25,532.3553794224306,4
4,191.5,109.60687326379977,4,-513.25,525.4035750417642,4,704.75,625.1119233118711,4
5,195.5,116.47174192338099,4,-513.25,525.4035750417642,4,708.75,630.4830819829083,4
6,218.75,157.74319847989221,4,-472.5,569.5065115226223,4,691.25,708.1418760860472,4
7,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
8,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
9,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
10,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
11,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
12,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
13,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
14,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
15,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
16,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
17,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
18,223.5,152.49152981941873,4,-471.0,571.2868514736416,4,694.5,704.2369392943448,4
19,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
20,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
21,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
22,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
23,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
24,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
25,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
26,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
27,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
28,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
29,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
30,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
31,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
32,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
33,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
34,225.5,156.26579920123277,4,-471.0,571.2868514736416,4,696.5,707.0617606216117,4
