analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,202.66666666666666,96.91405126880898,3,-928.6666666666666,1034.2462633886253,3,1131.3333333333333,1130.0505888380985,3
1,261.0,188.63721796082552,3,-274.6666666666667,500.85659957050916,3,535.6666666666666,513.600363447431,3
2,261.0,188.63721796082552,3,-274.6666666666667,500.85659957050916,3,535.6666666666666,513.600363447431,3
3,271.6666666666667,175.98105958691502,3,220.66666666666666,240.67682342372174,3,51.0,397.5776653686673,3
4,292.0,178.53010950537168,3,-395.3333333333333,1397.2262999719599,3,687.3333333333334,1558.0142275773135,3
5,292.0,178.53010950537168,3,-395.3333333333333,1397.2262999719599,3,687.3333333333334,1558.0142275773135,3
6,298.3333333333333,188.78912398052313,3,-395.3333333333333,1397.2262999719599,3,693.6666666666666,1568.9695131943556,3
7,298.3333333333333,188.78912398052313,3,-395.3333333333333,1397.2262999719599,3,693.6666666666666,1568.9695131943556,3
8,298.3333333333333,188.78912398052313,3,-395.3333333333333,1397.2262999719599,3,693.6666666666666,1568.9695131943556,3
9,298.3333333333333,188.78912398052313,3,-395.3333333333333,1397.2262999719599,3,693.6666666666666,1568.9695131943556,3
10,298.3333333333333,188.78912398052313,3,-395.3333333333333,1397.2262999719599,3,693.6666666666666,1568.9695131943556,3
11,298.3333333333333,188.78912398052313,3,-395.3333333333333,1397.2262999719599,3,693.6666666666666,1568.9695131943556,3
12,304.0,198.03282556182447,3,-395.3333333333333,1397.2262999719599,3,699.3333333333334,1578.771780002839,3
13,304.0,198.03282556182447,3,-395.3333333333333,1397.2262999719599,3,699.3333333333334,1578.771780002839,3
14,304.0,198.03282556182447,3,-395.3333333333333,1397.2262999719599,3,699.3333333333334,1578.771780002839,3
15,304.0,198.03282556182447,3,-395.3333333333333,1397.2262999719599,3,699.3333333333334,1578.771780002839,3
16,304.0,198.03282556182447,3,-395.3333333333333,1397.2262999719599,3,699.3333333333334,1578.771780002839,3
17,309.0,196.58840250635336,3,-397.3333333333333,1395.1950879118422,3,706.3333333333334,1572.2182842510556,3
18,312.0,195.90048494069634,3,-559.3333333333334,1251.735328786934,3,871.3333333333334,1438.8399262368741,3
19,312.0,195.90048494069634,3,-559.3333333333334,1251.735328786934,3,871.3333333333334,1438.8399262368741,3
20,312.0,195.90048494069634,3,-559.3333333333334,1251.735328786934,3,871.3333333333334,1438.8399262368741,3
21,312.0,195.90048494069634,3,-559.3333333333334,1251.735328786934,3,871.3333333333334,1438.8399262368741,3
22,312.0,195.90048494069634,3,-559.3333333333334,1251.735328786934,3,871.3333333333334,1438.8399262368741,3
23,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
24,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
25,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
26,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
27,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
28,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
29,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
30,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
31,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
32,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
33,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
34,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
35,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
36,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
37,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
38,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
39,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
40,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
41,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
42,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
43,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
44,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
45,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
46,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
47,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
48,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
49,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
50,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
51,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
52,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
53,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
54,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
55,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
56,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
57,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
58,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
59,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
60,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
61,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
62,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
63,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
64,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
65,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
66,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
67,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
68,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
69,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
70,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
71,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
72,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
73,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
74,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
75,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
76,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
77,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
78,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
79,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
80,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
81,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
82,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
83,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
84,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
85,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
86,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
87,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
88,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
89,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
90,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
91,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
92,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
93,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
94,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
95,315.3333333333333,195.29550259371908,3,-532.6666666666666,1272.2111983995949,3,848.0,1455.038487463476,3
