dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
test,1,0,53560,53560,86986,0,9,3704,8.75,8,27,7,262.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,0,0
train,1,0,53560,53560,86986,0,9,3704,8.75,8,27,7,87.0,2,87.0,131.0,44.0,2.977272727272727,44.0,0.5,43.5,44.0,1,0,0
test,1,0,53560,53560,86986,1,13,628,8.25,7,10,25,-84.0,3,-42.0,92.0,134.0,0.6865671641791045,134.0,0.6666666666666666,-14.0,134.0,1,1,1
train,1,0,53560,53560,86986,1,13,628,8.25,7,10,25,92.0,2,92.0,92.0,0.0,inf,0.0,1.0,46.0,0.0,0,1,1
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,2,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,2,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,3,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,3,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,4,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,4,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,5,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,5,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,6,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,6,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,7,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,7,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,8,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,8,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,9,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,9,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,10,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,10,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,11,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,11,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,12,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,12,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,13,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,13,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,14,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,14,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,15,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,15,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,16,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,16,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,17,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,17,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,18,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,18,2
test,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,94.0,2,47.0,106.0,59.0,1.7966101694915255,59.0,0.5,23.5,59.0,1,19,2
train,1,0,53560,53560,86986,2,14,1427,9.0,1,22,10,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0,19,2
