entry_index,exit_index,direction,entry_price,exit_price,exit_reason,entry_timestamp,exit_timestamp,result,window_id,train_start,train_end,test_start,test_end,generation,repetition_id,repetition_name,source_repetition,source_file,result_ticks,net_result
2865,2867,short,30803.25,30801.0,TP,2026-06-16 15:30:00.006,2026-06-16 15:30:00.006,9.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,9.0,41.0
2868,2870,short,30799.25,30797.0,TP,2026-06-16 15:30:00.006,2026-06-16 15:30:00.006,9.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,9.0,41.0
2871,2872,short,30796.0,30796.75,SL,2026-06-16 15:30:00.006,2026-06-16 15:30:00.009,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
3193,3194,short,30776.5,30777.25,SL,2026-06-16 15:30:08.670,2026-06-16 15:30:08.674,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
3880,3881,short,30777.75,30778.5,SL,2026-06-16 15:31:05.082,2026-06-16 15:31:05.093,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
5035,5036,long,30761.75,30761.0,SL,2026-06-16 15:34:06.865,2026-06-16 15:34:06.865,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
5407,5408,long,30809.75,30809.0,SL,2026-06-16 15:35:04.341,2026-06-16 15:35:04.342,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
6024,6026,short,30805.5,30803.25,TP,2026-06-16 15:36:46.503,2026-06-16 15:36:46.503,9.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,9.0,41.0
6027,6029,short,30801.75,30799.5,TP,2026-06-16 15:36:46.503,2026-06-16 15:36:46.503,9.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,9.0,41.0
6030,6032,short,30797.75,30795.5,TP,2026-06-16 15:36:46.503,2026-06-16 15:36:46.503,9.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,9.0,41.0
6033,6034,short,30794.0,30794.75,SL,2026-06-16 15:36:46.503,2026-06-16 15:36:46.503,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
10708,10709,long,30888.0,30887.25,SL,2026-06-16 15:55:12.334,2026-06-16 15:55:12.335,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
11716,11717,short,30811.0,30811.75,SL,2026-06-16 15:59:38.477,2026-06-16 15:59:38.477,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
12877,12878,short,30791.0,30791.75,SL,2026-06-16 16:03:51.620,2026-06-16 16:03:51.635,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
14576,14577,long,30840.5,30839.75,SL,2026-06-16 16:12:52.411,2026-06-16 16:12:52.424,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
15259,15262,short,30773.75,30774.5,SL,2026-06-16 16:16:44.159,2026-06-16 16:16:44.175,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
15895,15897,short,30748.25,30746.0,TP,2026-06-16 16:19:36.991,2026-06-16 16:19:36.991,9.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,9.0,41.0
15898,15900,short,30744.5,30742.25,TP,2026-06-16 16:19:36.991,2026-06-16 16:19:36.991,9.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,9.0,41.0
15901,15902,short,30740.75,30741.5,SL,2026-06-16 16:19:36.991,2026-06-16 16:19:36.991,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
15992,15993,short,30737.25,30738.0,SL,2026-06-16 16:19:42.520,2026-06-16 16:19:42.521,-3.0,1,0,22406,22406,53560,18,1,rep_1,rep_1,experiments\NQ-5D\results\expanding\losing_streak_fitness\rep_1\walk_forward_trades.csv,-3.0,-19.0
