window_id,train_start,train_end,test_start,test_end,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,raw_test_fitness,test_fitness,test_fitness_multiplier,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
1,0,22406,22406,53560,5,565,7.25,4,9,2,-4.930066485916346,-4.930066485916346,-4.930066485916346,1.0,35,-5.0,451.0,456.0,0.9890350877192984,162.0,0.3142857142857143,-0.1428571428571428,19.0,6,expanding,losing_streak_fitness,expanding,rep_1
2,0,53560,53560,86986,11,511,3.75,2,6,2,161.66632302368973,80.83316151184486,161.66632302368973,2.0,6,66.0,104.0,38.0,2.736842105263158,38.0,0.6666666666666666,11.0,19.0,2,expanding,losing_streak_fitness,expanding,rep_1
3,0,86986,86986,125287,12,534,4.25,8,23,2,229.10259710444143,76.36753236814714,229.10259710444143,3.0,8,108.0,222.0,114.0,1.947368421052632,76.0,0.25,13.5,19.0,4,expanding,losing_streak_fitness,expanding,rep_1
4,0,125287,125287,130699,14,2563,6.25,2,10,2,-1000.0,-1000.0,-1000.0,4.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,expanding,losing_streak_fitness,expanding,rep_1
1,0,22406,22406,53560,5,503,7.5,4,9,2,-43.3490225391766,-43.3490225391766,-43.3490225391766,1.0,31,-109.0,328.0,437.0,0.7505720823798627,266.0,0.2580645161290322,-3.5161290322580645,19.0,14,expanding,losing_streak_fitness,expanding,rep_2
2,0,53560,53560,86986,8,537,8.75,4,10,2,-75.3939314398658,-37.6969657199329,-75.3939314398658,2.0,17,-128.0,138.0,266.0,0.518796992481203,266.0,0.1764705882352941,-7.529411764705882,19.0,14,expanding,losing_streak_fitness,expanding,rep_2
3,0,86986,86986,125287,13,671,5.25,1,23,2,110.67971810589329,36.89323936863109,110.67971810589329,3.0,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
4,0,125287,125287,130699,14,2084,5.5,3,10,2,-1000.0,-1000.0,-1000.0,4.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,expanding,losing_streak_fitness,expanding,rep_2
1,0,22406,22406,53560,6,188,8.0,3,21,2,-34.01117949407977,-34.01117949407977,-34.01117949407977,1.0,12,-108.0,101.0,209.0,0.4832535885167464,209.0,0.0833333333333333,-9.0,19.0,11,expanding,losing_streak_fitness,expanding,rep_3
2,0,53560,53560,86986,11,520,3.25,4,6,2,161.66632302368973,80.83316151184486,161.66632302368973,2.0,6,66.0,104.0,38.0,2.736842105263158,38.0,0.6666666666666666,11.0,19.0,2,expanding,losing_streak_fitness,expanding,rep_3
3,0,86986,86986,125287,13,885,4.0,4,23,2,110.67971810589329,36.89323936863109,110.67971810589329,3.0,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_3
4,0,125287,125287,130699,13,3739,6.25,7,14,2,-1000.0,-1000.0,-1000.0,4.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,expanding,losing_streak_fitness,expanding,rep_3
1,0,22406,22406,53560,7,226,9.0,5,11,20,-218.0,-218.0,-218.0,1.0,2,-218.0,0.0,218.0,0.0,218.0,0.0,-109.0,109.0,2,expanding,net_profit_fitness,expanding,rep_1
2,0,53560,53560,86986,13,812,4.25,10,27,18,64.0,32.0,64.0,2.0,2,32.0,131.0,99.0,1.323232323232323,99.0,0.5,16.0,99.0,1,expanding,net_profit_fitness,expanding,rep_1
3,0,86986,86986,125287,13,1620,9.25,5,23,2,324.0,108.0,324.0,3.0,8,108.0,222.0,114.0,1.947368421052632,114.0,0.25,13.5,19.0,6,expanding,net_profit_fitness,expanding,rep_1
4,0,125287,125287,130699,12,1495,9.0,3,26,2,-4000.0,-1000.0,-4000.0,4.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,expanding,net_profit_fitness,expanding,rep_1
1,0,22406,22406,53560,5,285,7.25,3,9,2,-441.0,-441.0,-441.0,1.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,expanding,net_profit_fitness,expanding,rep_2
2,0,53560,53560,86986,14,1638,6.25,1,22,27,-76.0,-38.0,-76.0,2.0,2,-38.0,106.0,144.0,0.7361111111111112,144.0,0.5,-19.0,144.0,1,expanding,net_profit_fitness,expanding,rep_2
3,0,86986,86986,125287,13,543,10.0,3,23,2,324.0,108.0,324.0,3.0,8,108.0,222.0,114.0,1.947368421052632,76.0,0.25,13.5,19.0,4,expanding,net_profit_fitness,expanding,rep_2
4,0,125287,125287,130699,12,2193,3.5,9,15,2,-4000.0,-1000.0,-4000.0,4.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,expanding,net_profit_fitness,expanding,rep_2
1,0,22406,22406,53560,6,357,3.25,4,16,2,-399.0,-399.0,-399.0,1.0,31,-399.0,152.0,551.0,0.2758620689655172,437.0,0.064516129032258,-12.870967741935484,19.0,23,expanding,net_profit_fitness,expanding,rep_3
2,0,53560,53560,86986,13,3262,8.25,8,27,2,262.0,131.0,262.0,2.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,expanding,net_profit_fitness,expanding,rep_3
3,0,86986,86986,125287,12,894,10.0,3,27,2,-6.0,-2.0,-6.0,3.0,8,-2.0,131.0,133.0,0.9849624060150376,133.0,0.125,-0.25,19.0,7,expanding,net_profit_fitness,expanding,rep_3
4,0,125287,125287,130699,12,3771,3.0,9,20,2,-4000.0,-1000.0,-4000.0,4.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,expanding,net_profit_fitness,expanding,rep_3
1,0,22406,22406,53560,6,327,9.0,2,8,2,-74.16719920220798,-74.16719920220798,-74.16719920220798,1.0,22,-253.0,108.0,361.0,0.299168975069252,304.0,0.1363636363636363,-11.5,19.0,16,rolling,losing_streak_fitness,1_day,rep_1
2,22406,53560,53560,86986,9,647,3.5,8,8,2,-4.303314829119352,-4.303314829119352,-4.303314829119352,1.0,15,-10.0,180.0,190.0,0.9473684210526316,171.0,0.3333333333333333,-0.6666666666666666,19.0,9,rolling,losing_streak_fitness,1_day,rep_1
3,53560,86986,86986,125287,10,491,3.0,8,26,19,-700.6930051741633,-700.6930051741633,-700.6930051741633,1.0,19,-1286.0,378.0,1664.0,0.2271634615384615,1286.0,0.1578947368421052,-67.6842105263158,104.0,8,rolling,losing_streak_fitness,1_day,rep_1
4,86986,125287,125287,130699,14,2437,4.75,6,10,2,-1000.0,-1000.0,-1000.0,1.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,losing_streak_fitness,1_day,rep_1
1,0,22406,22406,53560,9,644,9.0,1,14,2,25.427456726058065,25.427456726058065,25.427456726058065,1.0,11,46.0,198.0,152.0,1.3026315789473684,114.0,0.2727272727272727,4.181818181818182,19.0,6,rolling,losing_streak_fitness,1_day,rep_2
2,22406,53560,53560,86986,6,1367,7.0,5,23,5,-96.98550149378,-96.98550149378,-96.98550149378,1.0,19,-356.0,222.0,578.0,0.3840830449826989,544.0,0.1052631578947368,-18.73684210526316,34.0,16,rolling,losing_streak_fitness,1_day,rep_2
3,53560,86986,86986,125287,12,414,5.25,2,9,2,166.93678111455512,166.93678111455512,166.93678111455512,1.0,11,151.0,246.0,95.0,2.5894736842105264,57.0,0.5454545454545454,13.727272727272728,19.0,3,rolling,losing_streak_fitness,1_day,rep_2
4,86986,125287,125287,130699,12,3054,3.25,7,12,2,-1000.0,-1000.0,-1000.0,1.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,losing_streak_fitness,1_day,rep_2
1,0,22406,22406,53560,7,1563,9.0,4,16,2,8.88643629358811,8.88643629358811,8.88643629358811,1.0,14,19.0,228.0,209.0,1.0909090909090908,152.0,0.2142857142857142,1.3571428571428572,19.0,8,rolling,losing_streak_fitness,1_day,rep_3
2,22406,53560,53560,86986,7,603,5.25,5,19,3,-98.40213650500684,-98.40213650500684,-98.40213650500684,1.0,27,-303.0,273.0,576.0,0.4739583333333333,437.0,0.1111111111111111,-11.22222222222222,24.0,16,rolling,losing_streak_fitness,1_day,rep_3
3,53560,86986,86986,125287,10,268,4.5,6,29,8,-196.4155839862333,-196.4155839862333,-196.4155839862333,1.0,15,-355.0,282.0,637.0,0.4427001569858713,355.0,0.1333333333333333,-23.666666666666668,49.0,7,rolling,losing_streak_fitness,1_day,rep_3
4,86986,125287,125287,130699,13,409,4.5,8,15,2,-1000.0,-1000.0,-1000.0,1.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,losing_streak_fitness,1_day,rep_3
1,0,53560,53560,86986,7,712,7.0,4,10,2,-33.333333333333336,-16.666666666666668,-33.333333333333336,2.0,25,-20.0,322.0,342.0,0.9415204678362572,147.0,0.28,-0.8,19.0,6,rolling,losing_streak_fitness,2_days,rep_1
2,22406,86986,86986,125287,12,3473,4.5,9,11,2,311.88018532763505,155.94009266381752,311.88018532763505,2.0,13,173.0,306.0,133.0,2.300751879699248,76.0,0.4615384615384615,13.307692307692308,19.0,4,rolling,losing_streak_fitness,2_days,rep_1
3,53560,125287,125287,130699,12,2599,7.5,6,19,2,-1000.0,-1000.0,-1000.0,2.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,losing_streak_fitness,2_days,rep_1
1,0,53560,53560,86986,8,643,8.75,4,10,3,-125.58216433873082,-62.79108216936541,-125.58216433873082,2.0,18,-222.0,138.0,360.0,0.3833333333333333,360.0,0.1666666666666666,-12.333333333333334,24.0,15,rolling,losing_streak_fitness,2_days,rep_2
2,22406,86986,86986,125287,12,480,3.75,2,27,2,115.95018087284058,57.97509043642029,115.95018087284058,2.0,10,110.0,262.0,152.0,1.7236842105263157,114.0,0.2,11.0,19.0,6,rolling,losing_streak_fitness,2_days,rep_2
3,53560,125287,125287,130699,14,3489,6.75,2,10,2,-1000.0,-1000.0,-1000.0,2.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,rolling,losing_streak_fitness,2_days,rep_2
1,0,53560,53560,86986,8,563,8.75,4,10,3,-116.6249876960424,-58.3124938480212,-116.6249876960424,2.0,17,-198.0,138.0,336.0,0.4107142857142857,336.0,0.1764705882352941,-11.647058823529411,24.0,14,rolling,losing_streak_fitness,2_days,rep_3
