rank,walk_forward_type,fitness_function,train_size,repetition,mean_test_fitness,median_test_fitness,std_test_fitness,min_test_fitness,max_test_fitness,mean_net_profit,median_net_profit,mean_max_drawdown,median_max_drawdown,mean_win_rate,mean_expectancy,mean_number_of_trades,number_of_windows
1,expanding,losing_streak_fitness,expanding,rep_1,-153.54028658944628,78.3681282688867,572.8146375956998,-1000.0,229.10259710444143,42.25,33.0,69.0,57.0,0.30773809523809526,6.089285714285714,12.25,4
2,rolling,net_profit_fitness,1_day,rep_2,-171.75,-144.5,350.2212395995804,-620.0,222.0,-171.75,-144.5,296.5,247.0,0.0842391304347826,-34.733695652173914,10.75,4
3,expanding,losing_streak_fitness,expanding,rep_3,-190.4162845911242,38.33426930590676,546.0492391047492,-1000.0,161.66632302368973,7.0,33.0,90.25,76.0,0.2375,2.25,7.0,4
4,rolling,losing_streak_fitness,1_day,rep_2,-226.1553159132917,-35.77902238386097,527.0470327782525,-1000.0,166.93678111455512,-39.75,23.0,178.75,85.5,0.2308612440191387,-0.20693779904306275,10.25,4
5,rolling,losing_streak_fitness,2_days,rep_1,-240.4843826685661,-33.333333333333336,680.0302001340334,-1000.0,311.88018532763505,51.0,0.0,74.33333333333333,76.0,0.24717948717948715,4.1692307692307695,12.666666666666666,3
6,expanding,losing_streak_fitness,expanding,rep_2,-252.01580896828727,-59.3714769895212,505.2278399472526,-1000.0,110.67971810589329,-41.75,-54.5,161.5,190.0,0.1586337760910816,-1.0113851992409866,14.5,4
7,rolling,losing_streak_fitness,3_days,rep_2,-319.9072738837018,-319.9072738837018,961.7963569449597,-1000.0,360.1854522325964,90.5,90.5,47.5,47.5,0.13636363636363635,8.227272727272727,5.5,2
8,rolling,losing_streak_fitness,1_day,rep_3,-321.482821049413,-147.40886024562008,460.0493502266351,-1000.0,8.88643629358811,-159.75,-151.5,236.0,253.5,0.11468253968253965,-8.382936507936506,14.0,4
9,rolling,losing_streak_fitness,2_days,rep_2,-336.54399448863006,-125.58216433873082,587.1242388819232,-1000.0,115.95018087284058,-37.333333333333336,0.0,158.0,114.0,0.12222222222222219,-0.44444444444444464,9.333333333333334,3
10,rolling,losing_streak_fitness,2_days,rep_3,-336.6083292320141,-116.6249876960424,585.2743484170471,-1000.0,106.8,-36.333333333333336,0.0,143.66666666666666,95.0,0.13289760348583876,-0.586056644880174,8.666666666666666,3
11,rolling,losing_streak_fitness,3_days,rep_3,-389.32028189410676,-389.32028189410676,863.6315396115327,-1000.0,221.35943621178652,70.0,70.0,57.0,57.0,0.15,7.0,5.0,2
12,rolling,losing_streak_fitness,3_days,rep_1,-444.6601409470534,-444.6601409470534,785.3691603990401,-1000.0,110.67971810589329,35.0,35.0,57.0,57.0,0.1,3.5,5.0,2
13,rolling,losing_streak_fitness,1_day,rep_1,-444.7908798013726,-387.43010218818563,484.81414735893105,-1000.0,-4.303314829119352,-387.25,-131.5,440.25,237.5,0.1568979266347687,-19.962719298245617,14.0,4
14,rolling,net_profit_fitness,1_day,rep_1,-471.0,-461.5,571.2868514736416,-1000.0,39.0,-221.0,3.5,338.0,100.0,0.2583333333333333,-21.291666666666668,5.25,4
15,rolling,net_profit_fitness,2_days,rep_1,-532.6666666666666,140.0,1272.2111983995949,-2000.0,262.0,67.0,70.0,38.0,0.0,0.39999999999999997,46.0,3.6666666666666665,3
16,rolling,net_profit_fitness,2_days,rep_3,-580.6666666666666,-4.0,1236.3532397067327,-2000.0,262.0,43.0,0.0,44.333333333333336,0.0,0.375,43.583333333333336,3.0,3
17,rolling,net_profit_fitness,1_day,rep_3,-641.5,-640.0,369.949996621165,-1000.0,-286.0,-391.5,-323.5,422.0,384.5,0.058612440191387546,-29.39952153110048,12.25,4
18,rolling,net_profit_fitness,2_days,rep_2,-702.0,-200.0,1133.671910210357,-2000.0,94.0,-17.666666666666668,0.0,78.33333333333333,59.0,0.2333333333333333,1.1666666666666667,2.3333333333333335,3
19,expanding,net_profit_fitness,expanding,rep_1,-957.5,-77.0,2040.373413536519,-4000.0,324.0,-19.5,16.0,107.75,106.5,0.1875,-19.875,3.0,4
20,expanding,net_profit_fitness,expanding,rep_3,-1035.75,-202.5,1994.723769514633,-4000.0,262.0,-67.5,-1.0,142.5,66.5,0.2973790322580645,29.469758064516128,10.0,4
21,expanding,net_profit_fitness,expanding,rep_2,-1048.25,-258.5,1992.479255433625,-4000.0,324.0,-92.75,-19.0,186.5,110.0,0.21955128205128205,-4.201923076923077,12.25,4
22,rolling,net_profit_fitness,3_days,rep_2,-1309.5,-1309.5,2390.728027191717,-3000.0,381.0,63.5,63.5,28.5,28.5,0.14285714285714285,9.071428571428571,3.5,2
23,rolling,net_profit_fitness,3_days,rep_1,-1335.0,-1335.0,2354.6655813512034,-3000.0,330.0,55.0,55.0,57.0,57.0,0.1,5.5,5.0,2
24,rolling,net_profit_fitness,3_days,rep_3,-1459.5,-1459.5,2178.595992835753,-3000.0,81.0,13.5,13.5,72.5,72.5,0.14285714285714285,1.9285714285714286,3.5,2
