generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter
0,1,0,22406,22406,53560,-54.899339704590254,-1605.5959388071385,-1000.0,-27965.130386886372,3472.650453806561,27910.231047181784,0
1,1,0,22406,22406,53560,-54.899339704590254,-844.774613193284,-1000.0,-9023.23079611732,907.9822149760304,8968.331456412729,1
2,1,0,22406,22406,53560,81.0,-586.9240294671024,-506.90604190957845,-1390.075357669504,417.3447534225851,1471.075357669504,0
3,1,0,22406,22406,53560,6.0,-410.22954335029755,-181.8474041562998,-2607.4011695030285,497.9081580253737,2613.4011695030285,1
4,1,0,22406,22406,53560,100.62305898749054,-168.87319840496144,-116.25419019656297,-1200.613593126448,212.28517352969746,1301.2366521139386,0
5,1,0,22406,22406,53560,15.874507866387544,-131.96941892968326,-77.73674462105743,-1000.0,192.536914774492,1015.8745078663875,1
6,1,0,22406,22406,53560,137.17142559585795,-125.01658985598786,-72.32141211861247,-3827.534585859263,391.2750403630155,3964.7060114551214,0
7,1,0,22406,22406,53560,126.0317420335052,-87.35089962807746,-46.53212288482765,-1000.0,191.51499752299517,1126.0317420335052,1
8,1,0,22406,22406,53560,137.17142559585795,-130.66182511392543,-39.97789012051902,-1000.0,289.9520505683782,1137.171425595858,2
9,1,0,22406,22406,53560,159.1979899370592,-146.04362677097143,-39.67992361719534,-1000.0,322.75024668089213,1159.1979899370592,0
10,1,0,22406,22406,53560,137.17142559585795,-82.90202040285538,-14.422205101855956,-1000.0,277.47961175331886,1137.171425595858,1
11,1,0,22406,22406,53560,159.1979899370592,-29.816895680836424,3.674234614174767,-1000.0,206.87249722242018,1159.1979899370592,2
12,1,0,22406,22406,53560,200.65579981650168,30.245774410217464,57.688820407423826,-1000.0,195.03893332030296,1200.6557998165017,0
13,1,0,22406,22406,53560,200.65579981650168,88.76648041207578,93.14340794948639,-82.92767933567175,66.23094834148506,283.5834791521734,1
14,1,0,22406,22406,53560,228.63070659909178,95.62374477000066,131.6015838146816,-1000.0,139.5977679892006,1228.6307065990918,0
15,1,0,22406,22406,53560,271.9319767883137,133.89324182281834,159.1979899370592,-143.10835055998655,69.670446909494,415.04032734830025,0
16,1,0,22406,22406,53560,289.2524848640025,155.88168594327587,159.1979899370592,-26.440709353402585,68.18315565173084,315.6931942174051,0
17,1,0,22406,22406,53560,289.2524848640025,174.77655561883617,200.65579981650168,-571.4822831899515,102.70857596785572,860.734768053954,1
18,1,0,22406,22406,53560,332.55375505322445,202.8077662378347,228.63070659909178,-251.89712185731702,87.22960374258476,584.4508769105414,0
19,1,0,22406,22406,53560,332.55375505322445,245.26993845398067,271.9319767883137,-193.58760290886397,84.26562358975418,526.1413579620885,1
20,1,0,22406,22406,53560,332.55375505322445,270.7475435806629,271.9319767883137,-111.95427638102979,76.78129355801028,444.50803143425424,2
21,1,0,22406,22406,53560,332.55375505322445,283.09451645363026,332.55375505322445,3.674234614174767,84.70211381501957,328.87952043904966,3
22,1,0,22406,22406,53560,332.55375505322445,299.8030914709885,332.55375505322445,-53.64475743257676,84.09747692823512,386.1985124858012,4
23,1,0,22406,22406,53560,332.55375505322445,305.99350970458636,332.55375505322445,-53.64475743257676,82.91131789459985,386.1985124858012,5
24,1,0,22406,22406,53560,332.55375505322445,301.6452664102135,332.55375505322445,-53.64475743257676,88.32815352057852,386.1985124858012,6
25,1,0,22406,22406,53560,332.55375505322445,298.72315770752914,332.55375505322445,-53.64475743257676,86.45129956342294,386.1985124858012,7
26,1,0,22406,22406,53560,332.55375505322445,307.0519025505123,332.55375505322445,-53.64475743257676,76.90212026415084,386.1985124858012,8
27,1,0,22406,22406,53560,332.55375505322445,312.17427768773155,332.55375505322445,3.674234614174767,71.38995522631488,328.87952043904966,9
28,1,0,22406,22406,53560,332.55375505322445,312.98231008973397,332.55375505322445,3.674234614174767,67.43434982452312,328.87952043904966,10
29,1,0,22406,22406,53560,332.55375505322445,308.4038817633475,332.55375505322445,3.674234614174767,80.41155589537041,328.87952043904966,11
30,1,0,22406,22406,53560,332.55375505322445,311.36506580085637,332.55375505322445,3.674234614174767,71.25646487649612,328.87952043904966,12
31,1,0,22406,22406,53560,332.55375505322445,308.28726433659546,332.55375505322445,3.674234614174767,74.91328301832687,328.87952043904966,13
32,1,0,22406,22406,53560,332.55375505322445,302.51756240549116,332.55375505322445,-53.64475743257676,80.3543162979868,386.1985124858012,14
33,1,0,22406,22406,53560,332.55375505322445,297.38966355642833,332.55375505322445,3.674234614174767,85.50796634158183,328.87952043904966,15
34,1,0,22406,22406,53560,332.55375505322445,327.7276058994011,332.55375505322445,99.98531142122827,26.61162798262594,232.56844363199616,16
35,1,0,22406,22406,53560,332.55375505322445,301.8207785649071,332.55375505322445,-53.64475743257676,88.10909761367597,386.1985124858012,17
36,1,0,22406,22406,53560,332.55375505322445,305.8054294353227,332.55375505322445,3.674234614174767,77.4460915661113,328.87952043904966,18
37,1,0,22406,22406,53560,332.55375505322445,300.8288324050202,332.55375505322445,3.674234614174767,87.07403209038289,328.87952043904966,19
38,1,0,22406,22406,53560,332.55375505322445,303.2375122847871,332.55375505322445,-53.64475743257676,88.63299695842338,386.1985124858012,20
39,1,0,22406,22406,53560,332.55375505322445,308.81023922849255,332.55375505322445,-53.64475743257676,78.0340083698373,386.1985124858012,21
40,1,0,22406,22406,53560,332.55375505322445,307.88993254849555,332.55375505322445,3.674234614174767,78.67090984500749,328.87952043904966,22
41,1,0,22406,22406,53560,332.55375505322445,306.1765746438349,332.55375505322445,-53.64475743257676,85.04761019194962,386.1985124858012,23
42,1,0,22406,22406,53560,332.55375505322445,296.1409600751931,332.55375505322445,-53.64475743257676,94.85353710194661,386.1985124858012,24
43,1,0,22406,22406,53560,332.55375505322445,316.79357066166324,332.55375505322445,-53.64475743257676,61.67959477452209,386.1985124858012,25
44,1,0,22406,22406,53560,332.55375505322445,305.7676578036296,332.55375505322445,-53.64475743257676,83.91171928049464,386.1985124858012,26
45,1,0,22406,22406,53560,332.55375505322445,311.39075405703346,332.55375505322445,3.674234614174767,71.19074596393168,328.87952043904966,27
46,1,0,22406,22406,53560,332.55375505322445,308.51254774883216,332.55375505322445,3.674234614174767,72.71589072662309,328.87952043904966,28
47,1,0,22406,22406,53560,332.55375505322445,301.8229873363718,332.55375505322445,-53.64475743257676,84.80846417847359,386.1985124858012,29
48,1,0,22406,22406,53560,332.55375505322445,302.5284123592195,332.55375505322445,-53.64475743257676,88.90024380674684,386.1985124858012,30
49,1,0,22406,22406,53560,332.55375505322445,307.8566508196329,332.55375505322445,-53.64475743257676,77.28704169691876,386.1985124858012,31
50,1,0,22406,22406,53560,332.55375505322445,301.85346309713975,332.55375505322445,-53.64475743257676,89.5527530117502,386.1985124858012,32
51,1,0,22406,22406,53560,332.55375505322445,316.04720710013976,332.55375505322445,47.09607202304668,59.94314906980962,285.45768303017775,33
52,1,0,22406,22406,53560,332.55375505322445,287.3651312855744,332.55375505322445,-53.64475743257676,99.34661872832953,386.1985124858012,34
53,1,0,22406,22406,53560,332.55375505322445,307.4594166448635,332.55375505322445,3.674234614174767,77.36023119213897,328.87952043904966,35
54,1,0,22406,22406,53560,332.55375505322445,294.2562358303592,332.55375505322445,-53.64475743257676,100.51115119776053,386.1985124858012,36
55,1,0,22406,22406,53560,332.55375505322445,306.7377302808955,332.55375505322445,3.674234614174767,74.39206809247419,328.87952043904966,37
56,1,0,22406,22406,53560,332.55375505322445,308.26935354451126,332.55375505322445,3.674234614174767,76.12200444587413,328.87952043904966,38
57,1,0,22406,22406,53560,332.55375505322445,302.62771832210274,332.55375505322445,3.674234614174767,82.80377164809293,328.87952043904966,39
58,1,0,22406,22406,53560,332.55375505322445,309.442844006123,332.55375505322445,3.674234614174767,76.87992272751127,328.87952043904966,40
59,1,0,22406,22406,53560,332.55375505322445,300.20651080036004,332.55375505322445,3.674234614174767,82.99190113872235,328.87952043904966,41
60,1,0,22406,22406,53560,332.55375505322445,306.1062969275977,332.55375505322445,3.674234614174767,80.65764087542634,328.87952043904966,42
61,1,0,22406,22406,53560,332.55375505322445,308.28981939267834,332.55375505322445,-53.64475743257676,77.5703698692111,386.1985124858012,43
62,1,0,22406,22406,53560,332.55375505322445,307.73848527673033,332.55375505322445,-53.64475743257676,79.17432214713432,386.1985124858012,44
63,1,0,22406,22406,53560,332.55375505322445,306.73494054601343,332.55375505322445,3.674234614174767,75.1131836081461,328.87952043904966,45
64,1,0,22406,22406,53560,332.55375505322445,313.7618506731656,332.55375505322445,3.674234614174767,69.01931849420265,328.87952043904966,46
65,1,0,22406,22406,53560,332.55375505322445,297.1297683230212,332.55375505322445,-53.64475743257676,92.52282151621262,386.1985124858012,47
66,1,0,22406,22406,53560,332.55375505322445,320.7308477355067,332.55375505322445,62.175155810017884,49.946064959237106,270.37859924320657,48
67,1,0,22406,22406,53560,332.55375505322445,301.4143843320429,332.55375505322445,3.674234614174767,89.51507980705927,328.87952043904966,49
68,1,0,22406,22406,53560,332.55375505322445,313.0615114680212,332.55375505322445,20.56307370020348,71.91939678344772,311.990681353021,50
