generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter
0,1,0,22406,22406,53560,42.0,-844.22,-880.5,-6248.0,880.7515681782718,6290.0,0
1,1,0,22406,22406,53560,80.0,-530.64,-327.0,-3224.0,619.2581668187487,3304.0,0
2,1,0,22406,22406,53560,80.0,-230.95,-102.5,-1216.0,309.1342872858939,1296.0,1
3,1,0,22406,22406,53560,81.0,-117.8,-48.0,-1770.0,271.66274397614126,1851.0,0
4,1,0,22406,22406,53560,94.0,-148.98,-23.0,-2797.0,387.2688096259379,2891.0,0
5,1,0,22406,22406,53560,72.0,-12.17,22.0,-1000.0,123.3257208952919,1072.0,1
6,1,0,22406,22406,53560,92.0,24.87,42.0,-273.0,55.279575017735205,365.0,2
7,1,0,22406,22406,53560,92.0,40.41,52.0,-261.0,55.08800947464691,353.0,3
8,1,0,22406,22406,53560,92.0,57.8,72.0,-151.0,39.208327295268916,243.0,4
9,1,0,22406,22406,53560,102.0,61.48,72.0,-298.0,54.24513756545327,400.0,0
10,1,0,22406,22406,53560,102.0,66.35,72.0,-924.0,103.76258594707556,1026.0,1
11,1,0,22406,22406,53560,102.0,85.05,92.0,-103.0,26.437414183063908,205.0,2
12,1,0,22406,22406,53560,102.0,79.7,92.0,-218.0,46.86419235677198,320.0,3
13,1,0,22406,22406,53560,102.0,90.28,92.0,-80.0,27.976931334023874,182.0,4
14,1,0,22406,22406,53560,102.0,91.67,102.0,-198.0,39.57834705436238,300.0,5
15,1,0,22406,22406,53560,102.0,79.27,102.0,-218.0,63.44660604147253,320.0,6
16,1,0,22406,22406,53560,102.0,92.53,102.0,-283.0,52.17887939143054,385.0,7
17,1,0,22406,22406,53560,102.0,95.99,102.0,-218.0,35.11898821625323,320.0,8
18,1,0,22406,22406,53560,102.0,93.56,102.0,-334.0,54.268006833276694,436.0,9
19,1,0,22406,22406,53560,102.0,92.86,102.0,-146.0,40.21759502375732,248.0,10
20,1,0,22406,22406,53560,102.0,86.7,102.0,-334.0,66.60610885927609,436.0,11
21,1,0,22406,22406,53560,102.0,89.14,102.0,-283.0,51.30125325816696,385.0,12
22,1,0,22406,22406,53560,102.0,93.62,102.0,-218.0,48.50300001134992,320.0,13
23,1,0,22406,22406,53560,102.0,89.43,102.0,-334.0,57.80046747565317,436.0,14
24,1,0,22406,22406,53560,102.0,95.65,102.0,-126.0,33.248490510279126,228.0,15
25,1,0,22406,22406,53560,102.0,75.0,102.0,-914.0,117.47873222525227,1016.0,16
26,1,0,22406,22406,53560,102.0,90.39,102.0,-283.0,57.96148059119291,385.0,17
27,1,0,22406,22406,53560,102.0,97.55,102.0,-303.0,40.53241002736283,405.0,18
28,1,0,22406,22406,53560,102.0,85.39,102.0,-218.0,60.58467569685365,320.0,19
29,1,0,22406,22406,53560,102.0,87.88,102.0,-218.0,56.90471923054423,320.0,20
30,1,0,22406,22406,53560,102.0,90.8,102.0,-334.0,53.26491824035324,436.0,21
31,1,0,22406,22406,53560,102.0,85.49,102.0,-394.0,73.02407171957101,496.0,22
32,1,0,22406,22406,53560,102.0,87.49,102.0,-334.0,62.73054368576054,436.0,23
33,1,0,22406,22406,53560,102.0,86.94,102.0,-343.0,63.62275496624576,445.0,24
34,1,0,22406,22406,53560,102.0,82.62,102.0,-283.0,71.57065873609933,385.0,25
35,1,0,22406,22406,53560,102.0,94.01,102.0,-544.0,64.96782342674011,646.0,26
36,1,0,22406,22406,53560,102.0,85.54,102.0,-424.0,72.56907820215929,526.0,27
37,1,0,22406,22406,53560,102.0,90.82,102.0,-394.0,57.57654194043076,496.0,28
