entry_index,exit_index,direction,entry_price,exit_price,exit_reason,entry_timestamp,exit_timestamp,result,window_id,train_start,train_end,test_start,test_end,generation,repetition_id
15260,15262,short,30772.5,30777.75,SL,2026-06-16 16:16:44.159,2026-06-16 16:16:44.175,-21.0,1,0,22406,22406,53560,9,1
29592,29593,short,30554.0,30559.25,SL,2026-06-16 17:22:19.034,2026-06-16 17:22:19.038,-21.0,1,0,22406,22406,53560,9,1
2450,2456,short,30492.75,30486.0,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,27.0,2,0,53560,53560,86986,1,1
2457,2461,short,30484.0,30488.75,SL,2026-06-17 15:30:01.008,2026-06-17 15:30:01.012,-19.0,2,0,53560,53560,86986,1,1
3026,3031,long,30605.25,30611.0,TP,2026-06-18 15:26:33.962,2026-06-18 15:26:33.962,23.0,3,0,86986,86986,125287,18,1
3032,3037,long,30613.25,30619.0,TP,2026-06-18 15:26:33.962,2026-06-18 15:26:33.962,23.0,3,0,86986,86986,125287,18,1
3038,3039,long,30620.0,30619.25,SL,2026-06-18 15:26:33.962,2026-06-18 15:26:33.965,-3.0,3,0,86986,86986,125287,18,1
8526,8531,long,30478.25,30477.5,SL,2026-06-18 15:36:36.035,2026-06-18 15:36:36.036,-3.0,3,0,86986,86986,125287,18,1
8591,8593,short,30439.5,30440.25,SL,2026-06-18 15:36:37.779,2026-06-18 15:36:37.781,-3.0,3,0,86986,86986,125287,18,1
9268,9272,short,30414.25,30415.0,SL,2026-06-18 15:37:47.137,2026-06-18 15:37:47.139,-3.0,3,0,86986,86986,125287,18,1
10042,10047,long,30452.5,30451.75,SL,2026-06-18 15:39:15.457,2026-06-18 15:39:15.459,-3.0,3,0,86986,86986,125287,18,1
13612,13613,short,30441.75,30442.5,SL,2026-06-18 15:46:31.142,2026-06-18 15:46:31.144,-3.0,3,0,86986,86986,125287,18,1
