dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,22406,22406,53560,0,8,230,4.0,8,6,16,26.0,1,26.0,26.0,0.0,inf,0.0,1.0,26.0,0.0,0
test,1,0,22406,22406,53560,0,8,230,4.0,8,6,16,-89.0,1,-89.0,0.0,89.0,0.0,89.0,0.0,-89.0,89.0,1
train,1,0,22406,22406,53560,1,7,2189,7.0,7,14,5,32.0,2,32.0,66.0,34.0,1.9411764705882353,34.0,0.5,16.0,34.0,1
test,1,0,22406,22406,53560,1,7,2189,7.0,7,14,5,-72.0,8,-72.0,132.0,204.0,0.6470588235294118,136.0,0.25,-9.0,34.0,4
train,1,0,22406,22406,53560,2,6,2869,9.0,5,30,16,57.0,2,57.0,146.0,89.0,1.6404494382022472,89.0,0.5,28.5,89.0,1
test,1,0,22406,22406,53560,2,6,2869,9.0,5,30,16,-388.0,7,-388.0,146.0,534.0,0.27340823970037453,534.0,0.14285714285714285,-55.42857142857143,89.0,6
train,1,0,22406,22406,53560,3,8,2112,6.5,7,14,2,47.0,2,47.0,66.0,19.0,3.473684210526316,19.0,0.5,23.5,19.0,1
test,1,0,22406,22406,53560,3,8,2112,6.5,7,14,2,18.0,8,18.0,132.0,114.0,1.1578947368421053,76.0,0.25,2.25,19.0,4
train,1,0,22406,22406,53560,4,7,357,6.5,7,14,2,47.0,2,47.0,66.0,19.0,3.473684210526316,19.0,0.5,23.5,19.0,1
test,1,0,22406,22406,53560,4,7,357,6.5,7,14,2,-57.0,3,-57.0,0.0,57.0,0.0,57.0,0.0,-19.0,19.0,3
train,1,0,22406,22406,53560,5,8,2112,6.75,5,14,2,56.0,6,56.0,132.0,76.0,1.736842105263158,76.0,0.3333333333333333,9.333333333333334,19.0,4
test,1,0,22406,22406,53560,5,8,2112,6.75,5,14,2,-49.0,16,-49.0,198.0,247.0,0.8016194331983806,152.0,0.1875,-3.0625,19.0,8
train,1,0,22406,22406,53560,6,8,2849,9.25,6,5,25,42.0,2,42.0,42.0,0.0,inf,0.0,1.0,21.0,0.0,0
test,1,0,22406,22406,53560,6,8,2849,9.25,6,5,25,-607.0,8,-607.0,63.0,670.0,0.09402985074626866,649.0,0.375,-75.875,134.0,3
train,1,0,22406,22406,53560,7,6,357,3.25,4,5,2,64.0,24,64.0,273.0,209.0,1.30622009569378,55.0,0.5416666666666666,2.6666666666666665,19.0,2
