entry_index,exit_index,direction,entry_price,exit_price,exit_reason,entry_timestamp,exit_timestamp,result,window_id,train_start,train_end,test_start,test_end,generation,repetition_id
2618,2620,short,30823.25,30824.0,SL,2026-06-16 15:27:50.044,2026-06-16 15:27:50.070,-3.0,1,0,22406,22406,53560,83,1
2869,2872,short,30797.75,30798.5,SL,2026-06-16 15:30:00.006,2026-06-16 15:30:00.009,-3.0,1,0,22406,22406,53560,83,1
3193,3194,short,30776.5,30777.25,SL,2026-06-16 15:30:08.670,2026-06-16 15:30:08.674,-3.0,1,0,22406,22406,53560,83,1
3573,3574,long,30796.25,30795.5,SL,2026-06-16 15:30:34.365,2026-06-16 15:30:34.368,-3.0,1,0,22406,22406,53560,83,1
3880,3881,short,30777.75,30778.5,SL,2026-06-16 15:31:05.082,2026-06-16 15:31:05.093,-3.0,1,0,22406,22406,53560,83,1
5036,5037,long,30762.0,30761.25,SL,2026-06-16 15:34:06.865,2026-06-16 15:34:06.874,-3.0,1,0,22406,22406,53560,83,1
5407,5408,long,30809.75,30809.0,SL,2026-06-16 15:35:04.341,2026-06-16 15:35:04.342,-3.0,1,0,22406,22406,53560,83,1
6152,6154,short,30800.75,30801.5,SL,2026-06-16 15:37:01.516,2026-06-16 15:37:01.517,-3.0,1,0,22406,22406,53560,83,1
8339,8340,short,30826.0,30826.75,SL,2026-06-16 15:44:18.292,2026-06-16 15:44:18.295,-3.0,1,0,22406,22406,53560,83,1
11716,11717,short,30811.0,30811.75,SL,2026-06-16 15:59:38.477,2026-06-16 15:59:38.477,-3.0,1,0,22406,22406,53560,83,1
12877,12878,short,30791.0,30791.75,SL,2026-06-16 16:03:51.620,2026-06-16 16:03:51.635,-3.0,1,0,22406,22406,53560,83,1
15259,15262,short,30773.75,30774.5,SL,2026-06-16 16:16:44.159,2026-06-16 16:16:44.175,-3.0,1,0,22406,22406,53560,83,1
15991,15992,short,30737.5,30738.25,SL,2026-06-16 16:19:42.520,2026-06-16 16:19:42.520,-3.0,1,0,22406,22406,53560,83,1
16453,16456,long,30761.0,30760.25,SL,2026-06-16 16:21:01.723,2026-06-16 16:21:01.727,-3.0,1,0,22406,22406,53560,83,1
22378,22379,long,30688.0,30687.25,SL,2026-06-16 16:40:40.895,2026-06-16 16:40:40.922,-3.0,1,0,22406,22406,53560,83,1
25190,25191,short,30600.25,30601.0,SL,2026-06-16 16:55:31.743,2026-06-16 16:55:31.743,-3.0,1,0,22406,22406,53560,83,1
25800,25802,short,30590.0,30588.0,TP,2026-06-16 16:58:36.196,2026-06-16 16:58:36.196,8.0,1,0,22406,22406,53560,83,1
25803,25805,short,30586.0,30584.0,TP,2026-06-16 16:58:36.196,2026-06-16 16:58:36.196,8.0,1,0,22406,22406,53560,83,1
25881,25882,short,30578.75,30579.5,SL,2026-06-16 16:58:49.548,2026-06-16 16:58:49.548,-3.0,1,0,22406,22406,53560,83,1
29589,29591,short,30557.0,30555.0,TP,2026-06-16 17:22:19.034,2026-06-16 17:22:19.034,8.0,1,0,22406,22406,53560,83,1
29592,29593,short,30554.0,30554.75,SL,2026-06-16 17:22:19.034,2026-06-16 17:22:19.038,-3.0,1,0,22406,22406,53560,83,1
30864,30865,long,30517.0,30516.25,SL,2026-06-16 17:28:39.666,2026-06-16 17:28:39.685,-3.0,1,0,22406,22406,53560,83,1
2448,2450,short,30496.0,30494.0,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,8.0,2,22406,53560,53560,86986,99,1
2451,2453,short,30491.5,30489.5,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,8.0,2,22406,53560,53560,86986,99,1
2454,2456,short,30487.75,30485.75,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,8.0,2,22406,53560,53560,86986,99,1
2457,2459,short,30484.0,30482.0,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,8.0,2,22406,53560,53560,86986,99,1
2460,2461,short,30480.5,30481.25,SL,2026-06-17 15:30:01.008,2026-06-17 15:30:01.012,-3.0,2,22406,53560,53560,86986,99,1
4488,4489,short,30423.25,30424.0,SL,2026-06-17 15:33:36.683,2026-06-17 15:33:36.683,-3.0,2,22406,53560,53560,86986,99,1
5205,5206,long,30449.25,30448.5,SL,2026-06-17 15:35:43.366,2026-06-17 15:35:43.381,-3.0,2,22406,53560,53560,86986,99,1
8817,8818,short,30497.25,30498.0,SL,2026-06-17 15:46:13.609,2026-06-17 15:46:13.618,-3.0,2,22406,53560,53560,86986,99,1
13322,13323,long,30375.75,30375.0,SL,2026-06-17 16:00:39.790,2026-06-17 16:00:39.793,-3.0,2,22406,53560,53560,86986,99,1
13502,13503,long,30385.75,30385.0,SL,2026-06-17 16:00:59.947,2026-06-17 16:00:59.948,-3.0,2,22406,53560,53560,86986,99,1
15264,15265,long,30378.25,30377.5,SL,2026-06-17 16:06:13.351,2026-06-17 16:06:13.355,-3.0,2,22406,53560,53560,86986,99,1
18950,18951,long,30486.5,30485.75,SL,2026-06-17 16:19:50.384,2026-06-17 16:19:50.384,-3.0,2,22406,53560,53560,86986,99,1
19449,19450,long,30503.0,30502.25,SL,2026-06-17 16:22:13.746,2026-06-17 16:22:13.747,-3.0,2,22406,53560,53560,86986,99,1
25333,25338,short,30349.0,30347.0,TP,2026-06-17 16:47:28.904,2026-06-17 16:47:28.906,8.0,2,22406,53560,53560,86986,99,1
28342,28343,short,30399.0,30399.75,SL,2026-06-17 16:55:10.963,2026-06-17 16:55:10.963,-3.0,2,22406,53560,53560,86986,99,1
3881,3883,short,30573.0,30578.0,SL,2026-06-18 15:30:00.019,2026-06-18 15:30:00.019,-20.0,3,53560,86986,86986,125287,0,1
8306,8308,long,30464.25,30459.25,SL,2026-06-18 15:36:17.758,2026-06-18 15:36:17.763,-20.0,3,53560,86986,86986,125287,0,1
8346,8348,short,30433.5,30438.5,SL,2026-06-18 15:36:20.154,2026-06-18 15:36:20.155,-20.0,3,53560,86986,86986,125287,0,1
8520,8525,long,30469.25,30475.75,TP,2026-06-18 15:36:36.035,2026-06-18 15:36:36.035,26.0,3,53560,86986,86986,125287,0,1
8526,8531,long,30478.25,30473.25,SL,2026-06-18 15:36:36.035,2026-06-18 15:36:36.036,-20.0,3,53560,86986,86986,125287,0,1
8588,8593,short,30443.25,30448.25,SL,2026-06-18 15:36:37.779,2026-06-18 15:36:37.781,-20.0,3,53560,86986,86986,125287,0,1
8948,8949,long,30438.75,30433.75,SL,2026-06-18 15:37:12.897,2026-06-18 15:37:12.898,-20.0,3,53560,86986,86986,125287,0,1
9264,9270,short,30419.25,30412.75,TP,2026-06-18 15:37:47.137,2026-06-18 15:37:47.137,26.0,3,53560,86986,86986,125287,0,1
9271,9272,short,30410.5,30415.5,SL,2026-06-18 15:37:47.137,2026-06-18 15:37:47.139,-20.0,3,53560,86986,86986,125287,0,1
9750,9751,short,30427.75,30432.75,SL,2026-06-18 15:38:37.640,2026-06-18 15:38:37.642,-20.0,3,53560,86986,86986,125287,0,1
10039,10045,long,30448.75,30455.25,TP,2026-06-18 15:39:15.457,2026-06-18 15:39:15.457,26.0,3,53560,86986,86986,125287,0,1
10186,10189,long,30464.5,30459.5,SL,2026-06-18 15:39:29.647,2026-06-18 15:39:29.654,-20.0,3,53560,86986,86986,125287,0,1
10610,10611,short,30409.75,30414.75,SL,2026-06-18 15:40:21.681,2026-06-18 15:40:21.684,-20.0,3,53560,86986,86986,125287,0,1
13047,13053,long,30474.75,30469.75,SL,2026-06-18 15:45:26.232,2026-06-18 15:45:26.253,-20.0,3,53560,86986,86986,125287,0,1
13155,13158,long,30458.75,30453.75,SL,2026-06-18 15:45:34.773,2026-06-18 15:45:34.792,-20.0,3,53560,86986,86986,125287,0,1
13315,13316,long,30462.25,30457.25,SL,2026-06-18 15:45:49.165,2026-06-18 15:45:49.167,-20.0,3,53560,86986,86986,125287,0,1
