dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,22406,22406,53560,0,5,863,5.25,5,14,8,-107.23753488815792,11,-194.0,198.0,392.0,0.5051020408163265,294.0,0.2727272727272727,-17.636363636363637,49.0,6
test,1,0,22406,22406,53560,0,5,863,5.25,5,14,8,-350.0,25,-420.0,462.0,882.0,0.5238095238095238,520.0,0.28,-16.8,49.0,6
train,1,0,22406,22406,53560,1,7,3360,4.25,7,19,8,-58.696784409369485,5,-105.0,91.0,196.0,0.4642857142857143,196.0,0.2,-21.0,49.0,4
test,1,0,22406,22406,53560,1,7,3360,4.25,7,19,8,-165.41666141897556,11,-399.0,91.0,490.0,0.18571428571428572,399.0,0.09090909090909091,-36.27272727272727,49.0,8
train,1,0,22406,22406,53560,2,8,881,7.0,5,14,4,-27.95084971874737,5,-50.0,66.0,116.0,0.5689655172413793,116.0,0.2,-10.0,29.0,4
test,1,0,22406,22406,53560,2,8,881,7.0,5,14,4,146.64696837416494,12,127.0,330.0,203.0,1.625615763546798,87.0,0.4166666666666667,10.583333333333334,29.0,3
train,1,0,22406,22406,53560,3,8,658,9.0,1,14,2,4.8074017006186525,13,8.0,198.0,190.0,1.0421052631578946,124.0,0.23076923076923078,0.6153846153846154,19.0,6
test,1,0,22406,22406,53560,3,8,658,9.0,1,14,2,-1.0606601717798212,18,-2.0,264.0,266.0,0.9924812030075187,162.0,0.2222222222222222,-0.1111111111111111,19.0,8
train,1,0,22406,22406,53560,4,9,872,9.0,1,14,4,19.595917942265423,6,16.0,132.0,116.0,1.1379310344827587,58.0,0.3333333333333333,2.6666666666666665,29.0,2
test,1,0,22406,22406,53560,4,9,872,9.0,1,14,4,-31.17691453623979,12,-63.0,198.0,261.0,0.7586206896551724,203.0,0.25,-5.25,29.0,7
train,1,0,22406,22406,53560,5,8,881,6.75,5,14,4,9.797958971132712,6,16.0,132.0,116.0,1.1379310344827587,116.0,0.3333333333333333,2.6666666666666665,29.0,4
test,1,0,22406,22406,53560,5,8,881,6.75,5,14,4,146.64696837416494,12,127.0,330.0,203.0,1.625615763546798,87.0,0.4166666666666667,10.583333333333334,29.0,3
train,1,0,22406,22406,53560,6,5,528,7.0,4,7,4,124.70765814495915,12,72.0,217.0,145.0,1.4965517241379311,85.0,0.5833333333333334,6.0,29.0,2
test,1,0,22406,22406,53560,6,5,528,7.0,4,7,4,-166.6352334304128,31,-419.0,248.0,667.0,0.37181409295352325,512.0,0.25806451612903225,-13.516129032258064,29.0,14
train,1,0,22406,22406,53560,7,9,528,7.0,1,14,4,100.62305898749054,5,45.0,132.0,87.0,1.5172413793103448,29.0,0.4,9.0,29.0,1
