entry_index,exit_index,direction,entry_price,exit_price,exit_reason,entry_timestamp,exit_timestamp,result,window_id,train_start,train_end,test_start,test_end,generation,repetition_id
2448,2450,short,30496.0,30493.5,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,10.0,1,0,53560,53560,86986,35,2
2451,2454,short,30491.5,30489.0,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,10.0,1,0,53560,53560,86986,35,2
2455,2458,short,30486.5,30484.0,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,10.0,1,0,53560,53560,86986,35,2
2459,2461,short,30481.5,30482.5,SL,2026-06-17 15:30:01.008,2026-06-17 15:30:01.012,-4.0,1,0,53560,53560,86986,35,2
3612,3613,short,30453.5,30454.5,SL,2026-06-17 15:31:31.979,2026-06-17 15:31:31.981,-4.0,1,0,53560,53560,86986,35,2
4487,4490,short,30424.5,30425.5,SL,2026-06-17 15:33:36.683,2026-06-17 15:33:36.684,-4.0,1,0,53560,53560,86986,35,2
6718,6719,long,30410.5,30409.5,SL,2026-06-17 15:40:03.376,2026-06-17 15:40:03.387,-4.0,1,0,53560,53560,86986,35,2
7264,7265,long,30469.75,30468.75,SL,2026-06-17 15:41:27.191,2026-06-17 15:41:27.191,-4.0,1,0,53560,53560,86986,35,2
8816,8818,short,30498.25,30499.25,SL,2026-06-17 15:46:13.609,2026-06-17 15:46:13.618,-4.0,1,0,53560,53560,86986,35,2
12832,12833,short,30337.75,30338.75,SL,2026-06-17 16:00:00.369,2026-06-17 16:00:00.381,-4.0,1,0,53560,53560,86986,35,2
13321,13322,long,30375.5,30374.5,SL,2026-06-17 16:00:39.790,2026-06-17 16:00:39.790,-4.0,1,0,53560,53560,86986,35,2
13501,13502,long,30385.25,30384.25,SL,2026-06-17 16:00:59.947,2026-06-17 16:00:59.947,-4.0,1,0,53560,53560,86986,35,2
16886,16887,long,30396.25,30395.25,SL,2026-06-17 16:11:38.985,2026-06-17 16:11:39.005,-4.0,1,0,53560,53560,86986,35,2
18949,18952,long,30485.25,30484.25,SL,2026-06-17 16:19:50.384,2026-06-17 16:19:50.386,-4.0,1,0,53560,53560,86986,35,2
19448,19450,long,30502.25,30501.25,SL,2026-06-17 16:22:13.746,2026-06-17 16:22:13.747,-4.0,1,0,53560,53560,86986,35,2
20051,20052,long,30546.0,30545.0,SL,2026-06-17 16:24:55.688,2026-06-17 16:24:55.689,-4.0,1,0,53560,53560,86986,35,2
25334,25335,short,30347.75,30348.75,SL,2026-06-17 16:47:28.904,2026-06-17 16:47:28.905,-4.0,1,0,53560,53560,86986,35,2
28341,28344,short,30400.25,30401.25,SL,2026-06-17 16:55:10.963,2026-06-17 16:55:10.972,-4.0,1,0,53560,53560,86986,35,2
8522,8527,long,30471.75,30478.5,TP,2026-06-18 15:36:36.035,2026-06-18 15:36:36.035,27.0,2,22406,86986,86986,125287,26,2
8528,8531,long,30480.75,30480.0,SL,2026-06-18 15:36:36.035,2026-06-18 15:36:36.036,-3.0,2,22406,86986,86986,125287,26,2
8590,8593,short,30440.75,30441.5,SL,2026-06-18 15:36:37.779,2026-06-18 15:36:37.781,-3.0,2,22406,86986,86986,125287,26,2
9265,9271,short,30418.0,30411.25,TP,2026-06-18 15:37:47.137,2026-06-18 15:37:47.137,27.0,2,22406,86986,86986,125287,26,2
10041,10047,long,30451.25,30450.5,SL,2026-06-18 15:39:15.457,2026-06-18 15:39:15.459,-3.0,2,22406,86986,86986,125287,26,2
10187,10188,long,30466.0,30465.25,SL,2026-06-18 15:39:29.647,2026-06-18 15:39:29.647,-3.0,2,22406,86986,86986,125287,26,2
11418,11419,short,30431.5,30432.25,SL,2026-06-18 15:42:03.839,2026-06-18 15:42:03.839,-3.0,2,22406,86986,86986,125287,26,2
13047,13051,long,30474.75,30474.0,SL,2026-06-18 15:45:26.232,2026-06-18 15:45:26.237,-3.0,2,22406,86986,86986,125287,26,2
13611,13612,short,30442.0,30442.75,SL,2026-06-18 15:46:31.142,2026-06-18 15:46:31.142,-3.0,2,22406,86986,86986,125287,26,2
21537,21539,short,30560.5,30561.25,SL,2026-06-18 16:07:25.078,2026-06-18 16:07:25.087,-3.0,2,22406,86986,86986,125287,26,2
