dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,86986,86986,125287,0,14,2273,6.25,6,18,2,491.93495504995377,5,220.0,258.0,38.0,6.7894736842105265,19.0,0.6,44.0,19.0,1
test,1,0,86986,86986,125287,0,14,2273,6.25,6,18,2,1120.5,9,249.0,344.0,95.0,3.6210526315789475,38.0,0.4444444444444444,27.666666666666668,19.0,2
train,1,0,86986,86986,125287,1,14,2273,6.25,6,18,2,491.93495504995377,5,220.0,258.0,38.0,6.7894736842105265,19.0,0.6,44.0,19.0,1
test,1,0,86986,86986,125287,1,14,2273,6.25,6,18,2,1120.5,9,249.0,344.0,95.0,3.6210526315789475,38.0,0.4444444444444444,27.666666666666668,19.0,2
train,1,0,86986,86986,125287,2,14,2273,6.25,6,18,2,491.93495504995377,5,220.0,258.0,38.0,6.7894736842105265,19.0,0.6,44.0,19.0,1
test,1,0,86986,86986,125287,2,14,2273,6.25,6,18,2,1120.5,9,249.0,344.0,95.0,3.6210526315789475,38.0,0.4444444444444444,27.666666666666668,19.0,2
train,1,0,86986,86986,125287,3,14,3234,5.75,5,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,3,14,3234,5.75,5,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,4,14,3234,5.75,5,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,4,14,3234,5.75,5,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
