generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter
0,1,0,86986,86986,125287,491.93495504995377,-12604.032259869811,-1000.0,-250632.0659192225,40284.556950605016,251124.00087427246,0
1,1,0,86986,86986,125287,491.93495504995377,-374.6579078659728,-236.62601791080937,-1679.7114244380653,533.7472099592069,2171.646379488019,1
2,1,0,86986,86986,125287,491.93495504995377,-209.10615073426104,-69.35849586563685,-1000.0,486.79366171239707,1491.9349550499537,2
3,1,0,86986,86986,125287,525.4759747124506,44.79840656662046,147.45321398058536,-2712.760757512538,487.7781037922061,3238.2367322249884,0
4,1,0,86986,86986,125287,525.4759747124506,217.97244265936268,308.6357075906804,-1000.0,436.1388551259988,1525.4759747124506,1
5,1,0,86986,86986,125287,525.4759747124506,322.7649641490771,447.21359549995793,-1000.0,380.11192917993776,1525.4759747124506,2
6,1,0,86986,86986,125287,529.0897844411664,447.2325628200958,514.2956348249517,-1000.0,262.02982857684157,1529.0897844411666,0
7,1,0,86986,86986,125287,525.4759747124506,447.63936098689265,525.4759747124506,-1000.0,305.71890077568696,1525.4759747124506,1
8,1,0,86986,86986,125287,525.4759747124506,433.16479243757834,525.4759747124506,-1000.0,363.9493146425714,1525.4759747124506,2
9,1,0,86986,86986,125287,525.4759747124506,492.6381676028855,525.4759747124506,-1000.0,166.3798482857288,1525.4759747124506,3
10,1,0,86986,86986,125287,525.4759747124506,403.10248653882957,525.4759747124506,-1000.0,415.8502733492661,1525.4759747124506,4
11,1,0,86986,86986,125287,529.0897844411664,449.0147072763648,525.4759747124506,-1000.0,334.10917687220484,1529.0897844411666,5
12,1,0,86986,86986,125287,529.0897844411664,405.6193516004357,525.4759747124506,-1000.0,392.1851750130542,1529.0897844411666,6
13,1,0,86986,86986,125287,525.4759747124506,472.8629739169339,525.4759747124506,-1000.0,264.0061942539935,1525.4759747124506,7
14,1,0,86986,86986,125287,525.4759747124506,519.1066283092492,525.4759747124506,251.73001410241093,38.77112907694738,273.7459606100397,8
15,1,0,86986,86986,125287,525.4759747124506,490.23287981465757,525.4759747124506,-1000.0,215.74761618034628,1525.4759747124506,9
16,1,0,86986,86986,125287,525.4759747124506,398.85002192718997,525.4759747124506,-1000.0,416.44097592398464,1525.4759747124506,10
17,1,0,86986,86986,125287,525.4759747124506,483.7000446538712,525.4759747124506,-1000.0,219.7695178807003,1525.4759747124506,11
18,1,0,86986,86986,125287,525.4759747124506,482.01167542929295,525.4759747124506,-1000.0,222.96592038983724,1525.4759747124506,12
19,1,0,86986,86986,125287,525.4759747124506,486.88471785547154,525.4759747124506,-1000.0,218.5459970459843,1525.4759747124506,13
20,1,0,86986,86986,125287,525.4759747124506,478.48185808345175,525.4759747124506,-1000.0,261.4356468800748,1525.4759747124506,14
21,1,0,86986,86986,125287,525.4759747124506,505.745143555936,525.4759747124506,-1000.0,157.09498292994016,1525.4759747124506,15
22,1,0,86986,86986,125287,525.4759747124506,489.8195634155616,525.4759747124506,-1000.0,217.57557807040365,1525.4759747124506,16
23,1,0,86986,86986,125287,525.4759747124506,449.20217597682773,525.4759747124506,-1000.0,334.1447020631201,1525.4759747124506,17
24,1,0,86986,86986,125287,525.4759747124506,457.1316013095873,525.4759747124506,-1000.0,302.71636329366993,1525.4759747124506,18
25,1,0,86986,86986,125287,525.4759747124506,440.05264720405927,525.4759747124506,-1000.0,336.4631713558278,1525.4759747124506,19
26,1,0,86986,86986,125287,525.4759747124506,465.1613870387857,525.4759747124506,-1000.0,267.8630645172822,1525.4759747124506,20
27,1,0,86986,86986,125287,525.4759747124506,456.5776688804936,525.4759747124506,-1000.0,302.2468852304766,1525.4759747124506,21
28,1,0,86986,86986,125287,525.4759747124506,501.4070963891819,525.4759747124506,-1000.0,161.17904287632354,1525.4759747124506,22
29,1,0,86986,86986,125287,525.4759747124506,501.97126903671045,525.4759747124506,-1000.0,160.0884621665865,1525.4759747124506,23
30,1,0,86986,86986,125287,525.4759747124506,429.35954142143896,525.4759747124506,-1000.0,365.0730932015181,1525.4759747124506,24
31,1,0,86986,86986,125287,525.4759747124506,470.5975066747119,525.4759747124506,-1000.0,264.33996756377144,1525.4759747124506,25
32,1,0,86986,86986,125287,525.4759747124506,478.70546488120164,525.4759747124506,-1000.0,261.42785452991285,1525.4759747124506,26
33,1,0,86986,86986,125287,525.4759747124506,506.4775247693502,525.4759747124506,-1000.0,154.77401872482997,1525.4759747124506,27
34,1,0,86986,86986,125287,525.4759747124506,508.76777077995064,525.4759747124506,-1000.0,152.64620550855705,1525.4759747124506,28
35,1,0,86986,86986,125287,529.0897844411664,420.2754862362758,525.4759747124506,-1000.0,366.60401151546597,1529.0897844411666,29
36,1,0,86986,86986,125287,529.0897844411664,472.7042776648996,525.4759747124506,-1000.0,263.2891521765443,1529.0897844411666,30
37,1,0,86986,86986,125287,529.0897844411664,474.2125627857344,525.4759747124506,-1000.0,222.93216524130645,1529.0897844411666,31
38,1,0,86986,86986,125287,529.0897844411664,428.0534249816355,525.4759747124506,-1000.0,339.4030750226633,1529.0897844411666,32
39,1,0,86986,86986,125287,529.0897844411664,428.13030860685046,525.4759747124506,-1000.0,364.6836305015079,1529.0897844411666,33
40,1,0,86986,86986,125287,529.0897844411664,449.34425445694404,525.4759747124506,-1000.0,270.83244472867324,1529.0897844411666,34
41,1,0,86986,86986,125287,565.8321305829141,470.07642727590974,525.4759747124506,-1000.0,181.41326662665386,1565.832130582914,0
42,1,0,86986,86986,125287,529.0897844411664,445.34797610709245,525.4759747124506,-1000.0,271.36975452243706,1529.0897844411666,1
43,1,0,86986,86986,125287,529.0897844411664,477.59214164402664,529.0897844411664,-1000.0,223.34216115495425,1529.0897844411666,2
44,1,0,86986,86986,125287,565.8321305829141,518.7584690690481,529.0897844411664,260.6065041398622,47.62037664546512,305.22562644305196,3
45,1,0,86986,86986,125287,602.5744767246617,493.22920271828355,529.0897844411664,-1000.0,171.69871551151093,1602.5744767246617,0
46,1,0,86986,86986,125287,602.5744767246617,491.61378590225473,529.0897844411664,-1000.0,223.0638430345068,1602.5744767246617,1
47,1,0,86986,86986,125287,602.5744767246617,519.8423995869308,529.0897844411664,251.73001410241093,68.1757020884602,350.84446262225083,2
48,1,0,86986,86986,125287,659.640053362438,511.7249437531814,529.0897844411664,-1000.0,223.74620800534578,1659.640053362438,0
49,1,0,86986,86986,125287,659.640053362438,569.6569432006174,602.5744767246617,179.19573407620817,77.28182502524675,480.44431928622987,1
50,1,0,86986,86986,125287,659.640053362438,575.1106788254185,602.5744767246617,-1000.0,181.14476089726762,1659.640053362438,2
51,1,0,86986,86986,125287,659.640053362438,609.8428706237868,602.5744767246617,294.1564209736038,76.69907516161322,365.4836323888342,3
52,1,0,86986,86986,125287,659.640053362438,582.6910202863718,659.640053362438,-1000.0,290.81854928486536,1659.640053362438,4
53,1,0,86986,86986,125287,659.640053362438,600.8991449559695,659.640053362438,-1000.0,246.00718975210273,1659.640053362438,5
54,1,0,86986,86986,125287,659.640053362438,573.9600424438098,659.640053362438,-1000.0,332.70422992940547,1659.640053362438,6
55,1,0,86986,86986,125287,659.640053362438,608.8576127380321,659.640053362438,-1000.0,242.64393178422296,1659.640053362438,7
56,1,0,86986,86986,125287,659.640053362438,585.9356965547776,659.640053362438,-1000.0,289.83510986764225,1659.640053362438,8
57,1,0,86986,86986,125287,659.640053362438,641.1355871288519,659.640053362438,210.81851067789196,73.66079150855155,448.8215426845461,9
58,1,0,86986,86986,125287,659.640053362438,564.721792960099,659.640053362438,-1000.0,365.89626848781745,1659.640053362438,10
59,1,0,86986,86986,125287,659.640053362438,594.9648682701971,659.640053362438,-1000.0,290.22191956263083,1659.640053362438,11
60,1,0,86986,86986,125287,659.640053362438,610.6430520022008,659.640053362438,-1000.0,239.89383287604105,1659.640053362438,12
61,1,0,86986,86986,125287,659.640053362438,547.333494955128,659.640053362438,-1000.0,366.8645751021129,1659.640053362438,13
62,1,0,86986,86986,125287,659.640053362438,586.0096412255294,659.640053362438,-1000.0,328.0901697484745,1659.640053362438,14
63,1,0,86986,86986,125287,659.640053362438,608.8940667026677,659.640053362438,-1000.0,241.13733153723183,1659.640053362438,15
64,1,0,86986,86986,125287,659.640053362438,608.7914336395971,659.640053362438,-1000.0,190.52383130904676,1659.640053362438,16
65,1,0,86986,86986,125287,659.640053362438,645.2504944555604,659.640053362438,224.3885518965311,69.43403327508989,435.2515014659069,17
66,1,0,86986,86986,125287,659.640053362438,546.3407938900295,659.640053362438,-1000.0,368.864498841454,1659.640053362438,18
67,1,0,86986,86986,125287,659.640053362438,582.1995379738441,659.640053362438,-1000.0,329.22810011003565,1659.640053362438,19
68,1,0,86986,86986,125287,659.640053362438,641.4169272797791,659.640053362438,338.02958450407857,68.51485792536303,321.61046885835947,20
69,1,0,86986,86986,125287,659.640053362438,584.7470549666291,659.640053362438,-1000.0,292.4628719461134,1659.640053362438,21
70,1,0,86986,86986,125287,659.640053362438,602.5466261178609,659.640053362438,-1000.0,286.3478686365772,1659.640053362438,22
71,1,0,86986,86986,125287,659.640053362438,599.7651252051243,659.640053362438,-1000.0,244.91113537359217,1659.640053362438,23
72,1,0,86986,86986,125287,659.640053362438,596.2273903610691,659.640053362438,-1000.0,288.88871228609025,1659.640053362438,24
73,1,0,86986,86986,125287,659.640053362438,570.8071780914491,659.640053362438,-1000.0,331.2940848336027,1659.640053362438,25
74,1,0,86986,86986,125287,659.640053362438,639.4084452536248,659.640053362438,210.81851067789196,81.79400417155452,448.8215426845461,26
75,1,0,86986,86986,125287,659.640053362438,624.7881593378049,659.640053362438,-1000.0,180.84641795405642,1659.640053362438,27
76,1,0,86986,86986,125287,659.640053362438,638.045865938571,659.640053362438,210.81851067789196,78.75862885638384,448.8215426845461,28
77,1,0,86986,86986,125287,659.640053362438,553.512290889875,659.640053362438,-1000.0,367.4091941387206,1659.640053362438,29
78,1,0,86986,86986,125287,659.640053362438,606.1242957064716,659.640053362438,-1000.0,242.4405803581121,1659.640053362438,30
79,1,0,86986,86986,125287,659.640053362438,635.4285953576807,659.640053362438,210.81851067789196,86.45523245237455,448.8215426845461,31
80,1,0,86986,86986,125287,659.640053362438,591.4742414221905,659.640053362438,-1000.0,290.65912857553263,1659.640053362438,32
81,1,0,86986,86986,125287,659.640053362438,635.4089564713737,659.640053362438,-1000.0,171.32323114882405,1659.640053362438,33
82,1,0,86986,86986,125287,659.640053362438,633.4626102220307,659.640053362438,-1000.0,172.2494929716263,1659.640053362438,34
