dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,22406,22406,53560,0,10,1628,5.5,9,5,9,21.0,1,21.0,21.0,0.0,inf,0.0,1.0,21.0,0.0,0
test,1,0,22406,22406,53560,0,10,1628,5.5,9,5,9,-45.0,5,-45.0,63.0,108.0,0.5833333333333334,87.0,0.6,-9.0,54.0,1
train,1,0,22406,22406,53560,1,6,2061,9.25,6,4,30,32.0,2,32.0,32.0,0.0,inf,0.0,1.0,16.0,0.0,0
test,1,0,22406,22406,53560,1,6,2061,9.25,6,4,30,-715.0,10,-715.0,80.0,795.0,0.10062893081761007,763.0,0.5,-71.5,159.0,3
train,1,0,22406,22406,53560,2,10,1715,5.75,8,17,26,81.0,1,81.0,81.0,0.0,inf,0.0,1.0,81.0,0.0,0
test,1,0,22406,22406,53560,2,10,1715,5.75,8,17,26,-614.0,6,-614.0,81.0,695.0,0.11654676258992806,614.0,0.16666666666666666,-102.33333333333333,139.0,4
train,1,0,22406,22406,53560,3,9,596,9.25,6,4,30,32.0,2,32.0,32.0,0.0,inf,0.0,1.0,16.0,0.0,0
test,1,0,22406,22406,53560,3,9,596,9.25,6,4,30,-413.0,7,-413.0,64.0,477.0,0.13417190775681342,461.0,0.5714285714285714,-59.0,159.0,2
train,1,0,22406,22406,53560,4,8,3211,6.5,8,29,23,141.0,1,141.0,141.0,0.0,inf,0.0,1.0,141.0,0.0,0
test,1,0,22406,22406,53560,4,8,3211,6.5,8,29,23,-620.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5
train,1,0,22406,22406,53560,5,8,2644,7.5,8,29,23,141.0,1,141.0,141.0,0.0,inf,0.0,1.0,141.0,0.0,0
test,1,0,22406,22406,53560,5,8,2644,7.5,8,29,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,6,8,3211,6.75,8,29,23,141.0,1,141.0,141.0,0.0,inf,0.0,1.0,141.0,0.0,0
test,1,0,22406,22406,53560,6,8,3211,6.75,8,29,23,-620.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5
train,1,0,22406,22406,53560,7,8,2413,6.75,8,29,23,141.0,1,141.0,141.0,0.0,inf,0.0,1.0,141.0,0.0,0
test,1,0,22406,22406,53560,7,8,2413,6.75,8,29,23,-620.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5
train,1,0,22406,22406,53560,8,9,275,7.5,8,29,23,141.0,1,141.0,141.0,0.0,inf,0.0,1.0,141.0,0.0,0
test,1,0,22406,22406,53560,8,9,275,7.5,8,29,23,-124.0,1,-124.0,0.0,124.0,0.0,124.0,0.0,-124.0,124.0,1
train,1,0,22406,22406,53560,9,9,3211,7.5,8,29,23,141.0,1,141.0,141.0,0.0,inf,0.0,1.0,141.0,0.0,0
test,1,0,22406,22406,53560,9,9,3211,7.5,8,29,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,10,8,2413,6.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,10,8,2413,6.75,8,30,23,-620.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5
train,1,0,22406,22406,53560,11,8,2413,7.5,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,11,8,2413,7.5,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,12,9,3211,5.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,12,9,3211,5.75,8,30,23,-598.0,7,-598.0,146.0,744.0,0.19623655913978494,598.0,0.14285714285714285,-85.42857142857143,124.0,4
train,1,0,22406,22406,53560,13,9,3211,5.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,13,9,3211,5.75,8,30,23,-598.0,7,-598.0,146.0,744.0,0.19623655913978494,598.0,0.14285714285714285,-85.42857142857143,124.0,4
train,1,0,22406,22406,53560,14,9,3211,6.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,14,9,3211,6.75,8,30,22,-595.0,5,-595.0,0.0,595.0,0.0,595.0,0.0,-119.0,119.0,5
train,1,0,22406,22406,53560,15,9,3211,7.5,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,15,9,3211,7.5,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,16,9,1544,6.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,16,9,1544,6.75,8,30,23,-620.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5
train,1,0,22406,22406,53560,17,8,1404,6.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,17,8,1404,6.75,8,30,22,-595.0,5,-595.0,0.0,595.0,0.0,595.0,0.0,-119.0,119.0,5
train,1,0,22406,22406,53560,18,8,3211,7.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,18,8,3211,7.75,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,19,8,3435,7.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,19,8,3435,7.75,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,20,9,3211,6.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,20,9,3211,6.75,8,30,23,-620.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5
train,1,0,22406,22406,53560,21,8,2413,7.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,21,8,2413,7.75,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,22,9,2747,7.25,8,30,25,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,22,9,2747,7.25,8,30,25,-402.0,3,-402.0,0.0,402.0,0.0,402.0,0.0,-134.0,134.0,3
train,1,0,22406,22406,53560,23,8,3211,7.5,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,23,8,3211,7.5,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,24,9,3211,7.5,8,30,26,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,24,9,3211,7.5,8,30,26,-417.0,3,-417.0,0.0,417.0,0.0,417.0,0.0,-139.0,139.0,3
train,1,0,22406,22406,53560,25,8,2986,7.5,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,25,8,2986,7.5,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,26,8,3435,7.25,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,26,8,3435,7.25,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
