generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter
0,1,0,22406,22406,53560,64.0,-1197.53,-965.0,-17088.0,2080.6090913504395,17152.0,0
1,1,0,22406,22406,53560,26.0,-496.61,-353.5,-2702.0,489.1581491179359,2728.0,1
2,1,0,22406,22406,53560,52.0,-226.39,-91.0,-1751.0,324.5025375381322,1803.0,2
3,1,0,22406,22406,53560,92.0,-187.82,-53.0,-1452.0,334.80548792914783,1544.0,0
4,1,0,22406,22406,53560,83.0,-53.61,-23.0,-1000.0,162.43674106705308,1083.0,1
5,1,0,22406,22406,53560,109.0,-8.71,9.0,-1000.0,116.52894858611683,1109.0,0
6,1,0,22406,22406,53560,109.0,36.13,34.0,-46.0,37.557943113396014,155.0,1
7,1,0,22406,22406,53560,109.0,41.07,47.0,-220.0,53.249224398012586,329.0,2
8,1,0,22406,22406,53560,109.0,61.4,64.0,-58.0,35.38275560127269,167.0,3
9,1,0,22406,22406,53560,109.0,76.33,83.5,-38.0,28.719139783409076,147.0,4
10,1,0,22406,22406,53560,104.0,77.12,93.0,-48.0,33.241169557272706,152.0,5
11,1,0,22406,22406,53560,114.0,77.61,85.0,-38.0,30.135014367162512,152.0,0
12,1,0,22406,22406,53560,114.0,84.79,102.0,-38.0,30.862449806857654,152.0,1
13,1,0,22406,22406,53560,114.0,92.34,104.0,-38.0,25.72787663923388,152.0,2
14,1,0,22406,22406,53560,114.0,96.85,104.0,-38.0,26.533902460776098,152.0,3
15,1,0,22406,22406,53560,114.0,105.2,104.0,-38.0,18.081186159356164,152.0,4
16,1,0,22406,22406,53560,114.0,100.67,114.0,-57.0,36.02525909593563,171.0,5
17,1,0,22406,22406,53560,114.0,110.11,114.0,19.0,15.442885976161557,95.0,6
18,1,0,22406,22406,53560,114.0,106.78,114.0,-57.0,27.425778627658566,171.0,7
19,1,0,22406,22406,53560,114.0,106.17,114.0,-38.0,26.133323670375454,152.0,8
20,1,0,22406,22406,53560,114.0,103.01,114.0,-38.0,30.162018727820154,152.0,9
21,1,0,22406,22406,53560,114.0,106.9,114.0,-57.0,29.887499498329166,171.0,10
22,1,0,22406,22406,53560,114.0,104.63,114.0,-57.0,33.88502693676147,171.0,11
23,1,0,22406,22406,53560,114.0,104.54,114.0,-38.0,32.02947506168768,152.0,12
24,1,0,22406,22406,53560,114.0,108.92,114.0,-57.0,23.824984763686608,171.0,13
25,1,0,22406,22406,53560,114.0,111.69,114.0,29.0,9.762528857676667,85.0,14
26,1,0,22406,22406,53560,114.0,107.01,114.0,-57.0,25.60164727970338,171.0,15
27,1,0,22406,22406,53560,114.0,106.31,114.0,-57.0,26.651016240786518,171.0,16
28,1,0,22406,22406,53560,114.0,107.08,114.0,-38.0,23.07855710350623,152.0,17
29,1,0,22406,22406,53560,144.0,106.14,114.0,-57.0,30.14108910648805,201.0,0
30,1,0,22406,22406,53560,144.0,107.45,114.0,-57.0,28.67278828225096,201.0,1
31,1,0,22406,22406,53560,114.0,102.57,114.0,-171.0,41.012256113449205,285.0,2
32,1,0,22406,22406,53560,114.0,105.4,114.0,-38.0,28.41112315963449,152.0,3
33,1,0,22406,22406,53560,114.0,109.52,114.0,-38.0,19.833896095912028,152.0,4
34,1,0,22406,22406,53560,114.0,107.35,114.0,-57.0,27.285758671193776,171.0,5
35,1,0,22406,22406,53560,114.0,104.02,114.0,-57.0,32.05959728034302,171.0,6
36,1,0,22406,22406,53560,114.0,108.07,114.0,-57.0,24.10090530174409,171.0,7
37,1,0,22406,22406,53560,114.0,104.82,114.0,-57.0,32.951565312829324,171.0,8
38,1,0,22406,22406,53560,114.0,110.43,114.0,-38.0,19.39137317302087,152.0,9
39,1,0,22406,22406,53560,114.0,108.37,114.0,-38.0,23.597917644820214,152.0,10
40,1,0,22406,22406,53560,114.0,105.26,114.0,-38.0,30.26936978985105,152.0,11
41,1,0,22406,22406,53560,114.0,106.04,114.0,-57.0,28.006463900357364,171.0,12
42,1,0,22406,22406,53560,114.0,106.49,114.0,-57.0,33.49400519254728,171.0,13
43,1,0,22406,22406,53560,114.0,110.84,114.0,-57.0,18.877446326184582,171.0,14
