entry_index,exit_index,direction,entry_price,exit_price,exit_reason,entry_timestamp,exit_timestamp,result,window_id,train_start,train_end,test_start,test_end,generation,repetition_id
2618,2620,short,30823.25,30824.0,SL,2026-06-16 15:27:50.044,2026-06-16 15:27:50.070,-3.0,1,0,22406,22406,53560,98,3
2869,2872,short,30797.75,30798.5,SL,2026-06-16 15:30:00.006,2026-06-16 15:30:00.009,-3.0,1,0,22406,22406,53560,98,3
3193,3194,short,30776.5,30777.25,SL,2026-06-16 15:30:08.670,2026-06-16 15:30:08.674,-3.0,1,0,22406,22406,53560,98,3
3573,3574,long,30796.25,30795.5,SL,2026-06-16 15:30:34.365,2026-06-16 15:30:34.368,-3.0,1,0,22406,22406,53560,98,3
3880,3881,short,30777.75,30778.5,SL,2026-06-16 15:31:05.082,2026-06-16 15:31:05.093,-3.0,1,0,22406,22406,53560,98,3
5036,5037,long,30762.0,30761.25,SL,2026-06-16 15:34:06.865,2026-06-16 15:34:06.874,-3.0,1,0,22406,22406,53560,98,3
5407,5408,long,30809.75,30809.0,SL,2026-06-16 15:35:04.341,2026-06-16 15:35:04.342,-3.0,1,0,22406,22406,53560,98,3
6152,6154,short,30800.75,30801.5,SL,2026-06-16 15:37:01.516,2026-06-16 15:37:01.517,-3.0,1,0,22406,22406,53560,98,3
8339,8340,short,30826.0,30826.75,SL,2026-06-16 15:44:18.292,2026-06-16 15:44:18.295,-3.0,1,0,22406,22406,53560,98,3
11716,11717,short,30811.0,30811.75,SL,2026-06-16 15:59:38.477,2026-06-16 15:59:38.477,-3.0,1,0,22406,22406,53560,98,3
12877,12878,short,30791.0,30791.75,SL,2026-06-16 16:03:51.620,2026-06-16 16:03:51.635,-3.0,1,0,22406,22406,53560,98,3
15259,15262,short,30773.75,30774.5,SL,2026-06-16 16:16:44.159,2026-06-16 16:16:44.175,-3.0,1,0,22406,22406,53560,98,3
15991,15992,short,30737.5,30738.25,SL,2026-06-16 16:19:42.520,2026-06-16 16:19:42.520,-3.0,1,0,22406,22406,53560,98,3
16453,16456,long,30761.0,30760.25,SL,2026-06-16 16:21:01.723,2026-06-16 16:21:01.727,-3.0,1,0,22406,22406,53560,98,3
22378,22379,long,30688.0,30687.25,SL,2026-06-16 16:40:40.895,2026-06-16 16:40:40.922,-3.0,1,0,22406,22406,53560,98,3
25190,25191,short,30600.25,30601.0,SL,2026-06-16 16:55:31.743,2026-06-16 16:55:31.743,-3.0,1,0,22406,22406,53560,98,3
25881,25882,short,30578.75,30579.5,SL,2026-06-16 16:58:49.548,2026-06-16 16:58:49.548,-3.0,1,0,22406,22406,53560,98,3
29589,29593,short,30557.0,30557.75,SL,2026-06-16 17:22:19.034,2026-06-16 17:22:19.038,-3.0,1,0,22406,22406,53560,98,3
30864,30865,long,30517.0,30516.25,SL,2026-06-16 17:28:39.666,2026-06-16 17:28:39.685,-3.0,1,0,22406,22406,53560,98,3
360,361,long,30506.25,30505.25,SL,2026-06-17 14:36:12.879,2026-06-17 14:36:12.879,-4.0,2,22406,53560,53560,86986,3,3
2449,2455,short,30494.75,30487.25,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,30.0,2,22406,53560,53560,86986,3,3
2456,2461,short,30485.25,30486.25,SL,2026-06-17 15:30:01.008,2026-06-17 15:30:01.012,-4.0,2,22406,53560,53560,86986,3,3
4487,4490,short,30424.5,30425.5,SL,2026-06-17 15:33:36.683,2026-06-17 15:33:36.684,-4.0,2,22406,53560,53560,86986,3,3
6717,6718,long,30410.25,30409.25,SL,2026-06-17 15:40:03.376,2026-06-17 15:40:03.376,-4.0,2,22406,53560,53560,86986,3,3
7263,7266,long,30468.25,30467.25,SL,2026-06-17 15:41:27.191,2026-06-17 15:41:27.206,-4.0,2,22406,53560,53560,86986,3,3
8006,8009,long,30516.25,30515.25,SL,2026-06-17 15:43:52.930,2026-06-17 15:43:52.930,-4.0,2,22406,53560,53560,86986,3,3
8815,8818,short,30499.5,30500.5,SL,2026-06-17 15:46:13.609,2026-06-17 15:46:13.618,-4.0,2,22406,53560,53560,86986,3,3
11864,11865,short,30395.0,30396.0,SL,2026-06-17 15:57:10.968,2026-06-17 15:57:10.968,-4.0,2,22406,53560,53560,86986,3,3
