generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter
0,1,0,53560,53560,86986,101.0,-1842.52,-409.5,-17557.0,3213.5505191283205,17658.0,0
1,1,0,53560,53560,86986,101.0,-239.99,-115.5,-1486.0,338.9370340200419,1587.0,1
2,1,0,53560,53560,86986,101.0,-111.5,-69.0,-1794.0,230.253242225936,1895.0,2
3,1,0,53560,53560,86986,131.0,-40.8,-26.0,-386.0,87.5231571088648,517.0,0
4,1,0,53560,53560,86986,107.0,-3.95,9.5,-401.0,76.17037985776865,508.0,1
5,1,0,53560,53560,86986,101.0,16.21,27.0,-206.0,50.33349287552479,307.0,2
6,1,0,53560,53560,86986,107.0,29.44,42.0,-341.0,54.33850505224754,448.0,3
7,1,0,53560,53560,86986,107.0,38.79,50.0,-230.0,50.22259441624845,337.0,4
8,1,0,53560,53560,86986,126.0,45.98,54.5,-69.0,42.908401381208655,195.0,5
9,1,0,53560,53560,86986,107.0,55.18,76.0,-138.0,43.93897972636528,245.0,6
10,1,0,53560,53560,86986,107.0,58.22,76.0,-69.0,45.829411402449296,176.0,7
11,1,0,53560,53560,86986,126.0,51.21,76.0,-200.0,57.190324639078874,326.0,8
12,1,0,53560,53560,86986,126.0,58.5,76.0,-131.0,53.41650711459176,257.0,9
13,1,0,53560,53560,86986,131.0,71.2,101.0,-244.0,55.59394633129464,375.0,10
14,1,0,53560,53560,86986,131.0,82.52,101.0,-29.0,42.21361741132232,160.0,11
15,1,0,53560,53560,86986,131.0,65.41,102.0,-1000.0,120.74357962310883,1131.0,12
16,1,0,53560,53560,86986,131.0,97.4,107.0,-24.0,36.87927342127022,155.0,13
17,1,0,53560,53560,86986,131.0,99.3,107.0,-49.0,46.59876011702934,180.0,14
18,1,0,53560,53560,86986,131.0,108.58,126.0,-49.0,47.51632999466201,180.0,15
19,1,0,53560,53560,86986,131.0,113.95,126.0,-24.0,43.16339053907006,155.0,16
20,1,0,53560,53560,86986,131.0,122.61,131.0,-24.0,30.333797865240893,155.0,17
21,1,0,53560,53560,86986,131.0,99.67,131.0,-1000.0,161.4143332226013,1131.0,18
22,1,0,53560,53560,86986,131.0,111.26,131.0,-1000.0,117.29920474727625,1131.0,19
23,1,0,53560,53560,86986,131.0,122.05,131.0,-29.0,33.893289166220654,160.0,20
24,1,0,53560,53560,86986,131.0,110.74,131.0,-1000.0,117.14228764863505,1131.0,21
25,1,0,53560,53560,86986,131.0,108.03,131.0,-1000.0,118.47698962544192,1131.0,22
26,1,0,53560,53560,86986,131.0,116.53,131.0,-29.0,44.22565072238261,160.0,23
27,1,0,53560,53560,86986,131.0,111.02,131.0,-1000.0,117.31008550681463,1131.0,24
28,1,0,53560,53560,86986,131.0,115.59,131.0,-1000.0,114.8333966662094,1131.0,25
29,1,0,53560,53560,86986,131.0,90.72,131.0,-1000.0,163.80698669131573,1131.0,26
30,1,0,53560,53560,86986,131.0,117.5,131.0,-24.0,41.424752274577344,155.0,27
31,1,0,53560,53560,86986,131.0,127.27,131.0,-29.0,22.45437798980615,160.0,28
32,1,0,53560,53560,86986,131.0,124.62,131.0,-24.0,26.998234136043905,155.0,29
33,1,0,53560,53560,86986,131.0,114.27,131.0,-1000.0,115.62739312292759,1131.0,30
34,1,0,53560,53560,86986,131.0,112.81,131.0,-34.0,48.10923912190764,165.0,31
35,1,0,53560,53560,86986,131.0,116.87,131.0,-29.0,43.76490337789823,160.0,32
36,1,0,53560,53560,86986,131.0,106.71,131.0,-1000.0,119.50878375223887,1131.0,33
37,1,0,53560,53560,86986,131.0,115.13,131.0,-29.0,45.902543887605354,160.0,34
38,1,0,53560,53560,86986,131.0,111.97,131.0,-29.0,48.892059011085166,160.0,35
39,1,0,53560,53560,86986,131.0,100.26,131.0,-1000.0,120.84321756856374,1131.0,36
40,1,0,53560,53560,86986,131.0,111.03,131.0,-1000.0,117.04332746914925,1131.0,37
41,1,0,53560,53560,86986,131.0,118.71,131.0,-29.0,39.01263587064783,160.0,38
42,1,0,53560,53560,86986,131.0,106.87,131.0,-1000.0,118.45117094815863,1131.0,39
43,1,0,53560,53560,86986,131.0,118.17,131.0,-34.0,42.12368872161069,165.0,40
44,1,0,53560,53560,86986,131.0,105.75,131.0,-1000.0,120.01644458030312,1131.0,41
45,1,0,53560,53560,86986,131.0,120.89,131.0,-29.0,36.48824219090059,160.0,42
46,1,0,53560,53560,86986,131.0,121.23,131.0,-38.0,37.03911527839266,169.0,43
47,1,0,53560,53560,86986,131.0,112.72,131.0,-1000.0,116.38225766408684,1131.0,44
48,1,0,53560,53560,86986,131.0,109.0,131.0,-1000.0,117.91984951267072,1131.0,45
49,1,0,53560,53560,86986,131.0,111.71,131.0,-1000.0,116.267915530546,1131.0,46
50,1,0,53560,53560,86986,131.0,120.16,131.0,-24.0,38.67965299166418,155.0,47
51,1,0,53560,53560,86986,131.0,122.44,131.0,-29.0,30.857875572509602,160.0,48
52,1,0,53560,53560,86986,131.0,119.24,131.0,-29.0,39.18568074893654,160.0,49
53,1,0,53560,53560,86986,131.0,103.95,131.0,-1000.0,120.84328067728252,1131.0,50
54,1,0,53560,53560,86986,131.0,111.17,131.0,-1000.0,117.34762783105485,1131.0,51
55,1,0,53560,53560,86986,131.0,110.06,131.0,-1000.0,117.9539218371635,1131.0,52
56,1,0,53560,53560,86986,131.0,106.52,131.0,-1000.0,119.4329599364929,1131.0,53
57,1,0,53560,53560,86986,131.0,113.44,131.0,-1000.0,116.60390692901808,1131.0,54
58,1,0,53560,53560,86986,131.0,111.92,131.0,-34.0,48.28465260067299,165.0,55
59,1,0,53560,53560,86986,131.0,114.52,131.0,-1000.0,114.71329918584424,1131.0,56
60,1,0,53560,53560,86986,131.0,104.22,131.0,-1000.0,120.68395824540136,1131.0,57
61,1,0,53560,53560,86986,131.0,107.09,131.0,-1000.0,119.24697188201596,1131.0,58
62,1,0,53560,53560,86986,131.0,101.56,131.0,-1000.0,161.01410440760094,1131.0,59
63,1,0,53560,53560,86986,131.0,111.22,131.0,-1000.0,117.29480944710352,1131.0,60
64,1,0,53560,53560,86986,131.0,113.84,131.0,-1000.0,115.57495447115738,1131.0,61
65,1,0,53560,53560,86986,131.0,117.49,131.0,-39.0,43.14024463387646,170.0,62
66,1,0,53560,53560,86986,131.0,88.55,131.0,-1000.0,195.3525885121153,1131.0,63
67,1,0,53560,53560,86986,131.0,121.95,131.0,-34.0,33.89150097566997,165.0,64
68,1,0,53560,53560,86986,131.0,127.31,131.0,-34.0,23.22472341660451,165.0,65
69,1,0,53560,53560,86986,131.0,113.2,131.0,-1000.0,115.78934198436278,1131.0,66
70,1,0,53560,53560,86986,131.0,113.32,131.0,-34.0,48.7897737256694,165.0,67
71,1,0,53560,53560,86986,131.0,94.24,131.0,-1000.0,163.164174618045,1131.0,68
72,1,0,53560,53560,86986,131.0,119.13,131.0,-34.0,41.06822483269871,165.0,69
73,1,0,53560,53560,86986,131.0,116.18,131.0,-34.0,44.596367112086156,165.0,70
74,1,0,53560,53560,86986,131.0,124.44,131.0,-34.0,28.34859482025217,165.0,71
75,1,0,53560,53560,86986,131.0,99.42,131.0,-1000.0,161.79418151378982,1131.0,72
76,1,0,53560,53560,86986,131.0,119.52,131.0,-34.0,37.73739136547076,165.0,73
77,1,0,53560,53560,86986,131.0,114.89,131.0,-1000.0,115.91349046908765,1131.0,74
78,1,0,53560,53560,86986,131.0,104.49,131.0,-1000.0,160.34763339492585,1131.0,75
79,1,0,53560,53560,86986,131.0,120.88,131.0,-24.0,34.703733097594714,155.0,76
80,1,0,53560,53560,86986,131.0,120.93,131.0,-34.0,35.0261821262814,165.0,77
81,1,0,53560,53560,86986,131.0,120.73,131.0,-34.0,37.679631718803286,165.0,78
82,1,0,53560,53560,86986,131.0,85.72,131.0,-1000.0,195.4708937489935,1131.0,79
83,1,0,53560,53560,86986,131.0,117.67,131.0,-34.0,43.68136578876303,165.0,80
84,1,0,53560,53560,86986,131.0,111.91,131.0,-34.0,47.93326484590715,165.0,81
85,1,0,53560,53560,86986,131.0,120.25,131.0,-34.0,37.70415806450975,165.0,82
86,1,0,53560,53560,86986,131.0,127.31,131.0,-34.0,23.413151359132684,165.0,83
87,1,0,53560,53560,86986,131.0,125.71,131.0,-34.0,23.57935023650477,165.0,84
88,1,0,53560,53560,86986,131.0,94.77,131.0,-1000.0,162.7742351115852,1131.0,85
89,1,0,53560,53560,86986,131.0,104.23,131.0,-1000.0,120.19772052831127,1131.0,86
90,1,0,53560,53560,86986,131.0,121.89,131.0,-44.0,35.30413172946925,175.0,87
91,1,0,53560,53560,86986,131.0,115.19,131.0,-34.0,42.699962150765046,165.0,88
92,1,0,53560,53560,86986,131.0,120.27,131.0,-44.0,34.86071998653783,175.0,89
93,1,0,53560,53560,86986,131.0,110.03,131.0,-1000.0,118.00671569658631,1131.0,90
94,1,0,53560,53560,86986,131.0,104.45,131.0,-1000.0,160.40349217841333,1131.0,91
95,1,0,53560,53560,86986,131.0,115.56,131.0,-54.0,46.082999341219406,185.0,92
96,1,0,53560,53560,86986,131.0,115.55,131.0,-44.0,44.57688285253339,175.0,93
97,1,0,53560,53560,86986,131.0,111.39,131.0,-1000.0,116.54694246517064,1131.0,94
98,1,0,53560,53560,86986,131.0,118.37,131.0,-39.0,39.83492579547894,170.0,95
99,1,0,53560,53560,86986,131.0,120.9,131.0,-34.0,33.850980619309816,165.0,96
100,1,0,53560,53560,86986,131.0,120.42,131.0,-44.0,39.234899945550694,175.0,97
0,2,22406,86986,86986,125287,213.0,-2466.98,-892.0,-60014.0,6587.355424944479,60227.0,0
1,2,22406,86986,86986,125287,213.0,-502.71,-122.0,-8554.0,1270.8148606307686,8767.0,1
2,2,22406,86986,86986,125287,213.0,-65.58,2.0,-1622.0,270.85946932166155,1835.0,2
3,2,22406,86986,86986,125287,215.0,46.15,65.0,-531.0,122.41330677980918,746.0,0
4,2,22406,86986,86986,125287,261.0,62.86,95.0,-1000.0,206.64266820584834,1261.0,0
5,2,22406,86986,86986,125287,252.0,122.23,138.0,-1000.0,129.31754472513532,1252.0,1
6,2,22406,86986,86986,125287,252.0,158.01,162.0,43.0,52.625318444776575,209.0,2
7,2,22406,86986,86986,125287,261.0,175.99,194.5,13.0,56.66158533367428,248.0,3
8,2,22406,86986,86986,125287,261.0,185.21,213.0,-16.0,62.48188343492662,277.0,4
9,2,22406,86986,86986,125287,261.0,181.08,228.0,-317.0,83.77467132466445,578.0,5
10,2,22406,86986,86986,125287,261.0,202.4,228.0,-223.0,67.88359019808703,484.0,6
11,2,22406,86986,86986,125287,261.0,212.9,228.0,53.0,42.007334616899485,208.0,7
12,2,22406,86986,86986,125287,261.0,209.21,228.0,-208.0,60.62224397567665,469.0,8
13,2,22406,86986,86986,125287,261.0,220.16,228.0,43.0,33.896968071561275,218.0,9
14,2,22406,86986,86986,125287,261.0,209.42,228.0,58.0,48.89964574038705,203.0,10
15,2,22406,86986,86986,125287,246.0,207.13,228.0,43.0,49.585688510400914,203.0,11
16,2,22406,86986,86986,125287,261.0,199.8,228.0,43.0,57.78609108801462,218.0,12
17,2,22406,86986,86986,125287,276.0,202.97,228.0,43.0,58.7372947792099,233.0,0
18,2,22406,86986,86986,125287,285.0,197.08,228.0,43.0,63.60113714757502,242.0,0
19,2,22406,86986,86986,125287,276.0,203.53,228.0,6.0,58.664506675112705,270.0,1
