entry_index,exit_index,direction,entry_price,exit_price,exit_reason,entry_timestamp,exit_timestamp,result,window_id,train_start,train_end,test_start,test_end,generation,repetition_id
2454,2460,short,30487.75,30481.0,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,27.0,1,0,53560,53560,86986,3,1
8523,8526,long,30472.0,30477.75,TP,2026-06-18 15:36:36.035,2026-06-18 15:36:36.035,23.0,2,22406,86986,86986,125287,23,1
8527,8531,long,30479.5,30478.75,SL,2026-06-18 15:36:36.035,2026-06-18 15:36:36.036,-3.0,2,22406,86986,86986,125287,23,1
8591,8593,short,30439.5,30440.25,SL,2026-06-18 15:36:37.779,2026-06-18 15:36:37.781,-3.0,2,22406,86986,86986,125287,23,1
9266,9271,short,30416.75,30411.0,TP,2026-06-18 15:37:47.137,2026-06-18 15:37:47.137,23.0,2,22406,86986,86986,125287,23,1
10042,10047,long,30452.5,30451.75,SL,2026-06-18 15:39:15.457,2026-06-18 15:39:15.459,-3.0,2,22406,86986,86986,125287,23,1
10188,10189,long,30466.75,30466.0,SL,2026-06-18 15:39:29.647,2026-06-18 15:39:29.654,-3.0,2,22406,86986,86986,125287,23,1
11419,11420,short,30431.25,30432.0,SL,2026-06-18 15:42:03.839,2026-06-18 15:42:03.840,-3.0,2,22406,86986,86986,125287,23,1
13048,13051,long,30476.0,30475.25,SL,2026-06-18 15:45:26.232,2026-06-18 15:45:26.237,-3.0,2,22406,86986,86986,125287,23,1
13612,13613,short,30441.75,30442.5,SL,2026-06-18 15:46:31.142,2026-06-18 15:46:31.144,-3.0,2,22406,86986,86986,125287,23,1
21538,21539,short,30559.5,30560.25,SL,2026-06-18 16:07:25.078,2026-06-18 16:07:25.087,-3.0,2,22406,86986,86986,125287,23,1
